family,hierarchy,model_a,method_a,model_b,method_b,seed,bootstrap_rng_seed,fold,horizon,mae_a_report,mae_b_report,unit,n_paired,block_length,n_boot,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,abs_ci_low,abs_ci_high,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,1,1,0.8458250834966149,1.0386258182547239,weighted_mean_pct,5261,32,5000,-0.192800734758109,-0.13409425281243736,1.0386258182547239,0.8458250834966149,-0.1856306009050359,-0.23619379167396382,-0.15242164756998464,-0.2311243990081279,-0.14663314238616165,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,1,1,0.8458250834966149,1.0386258182547239,weighted_mean_pct,5261,32,5000,-0.192800734758109,-0.13409425281243736,1.0386258182547239,0.8458250834966149,-0.1856306009050359,-0.23619379167396382,-0.15242164756998464,-0.2311243990081279,-0.14663314238616165,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,1,8,0.8619293246865776,1.052109336067894,weighted_mean_pct,4778,32,5000,-0.1901800113813165,-0.13414862193981603,1.052109336067894,0.8619293246865776,-0.18076069174719683,-0.23302811750352995,-0.14872078141169878,-0.2278949838208484,-0.1390376919163449,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,1,8,0.8619293246865776,1.052109336067894,weighted_mean_pct,4778,32,5000,-0.1901800113813165,-0.13414862193981603,1.052109336067894,0.8619293246865776,-0.18076069174719683,-0.23302811750352995,-0.14872078141169878,-0.2278949838208484,-0.1390376919163449,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,1,8,0.8619293246865776,1.052109336067894,weighted_mean_pct,4778,32,5000,-0.1901800113813165,-0.13414862193981603,1.052109336067894,0.8619293246865776,-0.18076069174719683,-0.23302811750352995,-0.14872078141169878,-0.2278949838208484,-0.1390376919163449,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,1,16,0.8648501103571508,1.047340358377533,weighted_mean_pct,4317,32,5000,-0.1824902480203822,-0.13213480677510292,1.047340358377533,0.8648501103571508,-0.17424158876402265,-0.2308138612406827,-0.14008545674206574,-0.2244955948781718,-0.13211096273688813,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,1,16,0.8648501103571508,1.047340358377533,weighted_mean_pct,4317,32,5000,-0.1824902480203822,-0.13213480677510292,1.047340358377533,0.8648501103571508,-0.17424158876402265,-0.2308138612406827,-0.14008545674206574,-0.2244955948781718,-0.13211096273688813,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,1,16,0.8648501103571508,1.047340358377533,weighted_mean_pct,4317,32,5000,-0.1824902480203822,-0.13213480677510292,1.047340358377533,0.8648501103571508,-0.17424158876402265,-0.2308138612406827,-0.14008545674206574,-0.2244955948781718,-0.13211096273688813,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,2,1,1.1492168649705437,1.3847823097729834,weighted_mean_pct,4852,32,5000,-0.23556544480243968,-0.11450482395976458,1.3847823097729834,1.1492168649705437,-0.17011009105182567,-0.2823879106947906,-0.19095257602710827,-0.20057800460702346,-0.13926049272495333,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,2,1,1.1492168649705437,1.3847823097729834,weighted_mean_pct,4852,32,5000,-0.23556544480243968,-0.11450482395976458,1.3847823097729834,1.1492168649705437,-0.17011009105182567,-0.2823879106947906,-0.19095257602710827,-0.20057800460702346,-0.13926049272495333,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,2,1,1.1492168649705437,1.3847823097729834,weighted_mean_pct,4852,32,5000,-0.23556544480243968,-0.11450482395976458,1.3847823097729834,1.1492168649705437,-0.17011009105182567,-0.2823879106947906,-0.19095257602710827,-0.20057800460702346,-0.13926049272495333,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,2,8,1.132114434314775,1.382419569308397,weighted_mean_pct,4341,32,5000,-0.25030513499362195,-0.115021874352355,1.382419569308397,1.132114434314775,-0.18106307271015104,-0.30133551480702636,-0.20236363780219535,-0.21261830832448983,-0.14815322963047464,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,2,8,1.132114434314775,1.382419569308397,weighted_mean_pct,4341,32,5000,-0.25030513499362195,-0.115021874352355,1.382419569308397,1.132114434314775,-0.18106307271015104,-0.30133551480702636,-0.20236363780219535,-0.21261830832448983,-0.14815322963047464,1.0,0.0,False,False
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,2,8,1.132114434314775,1.382419569308397,weighted_mean_pct,4341,32,5000,-0.25030513499362195,-0.115021874352355,1.382419569308397,1.132114434314775,-0.18106307271015104,-0.30133551480702636,-0.20236363780219535,-0.21261830832448983,-0.14815322963047464,1.0,0.0,False,False
