family,hierarchy,model_a,method_a,model_b,method_b,seed,fold,horizon,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,1,16,-0.2219861779883524,-0.27518614002510544,-0.1756392551275922,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,1,16,-0.2219861779883524,-0.27518614002510544,-0.1756392551275922,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,2,1,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,2,1,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,2,1,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,2,8,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,2,8,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,2,8,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,2,16,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,2,16,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,2,16,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,0,1,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,0,1,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,0,1,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,0,8,-0.08554422343579791,-0.1261671124365099,-0.047082693036416975,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,0,8,-0.08554422343579791,-0.1261671124365099,-0.047082693036416975,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,0,8,-0.08554422343579791,-0.1261671124365099,-0.047082693036416975,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,0,16,-0.07737450000349783,-0.12528405725151265,-0.028923053472727056,False,0.9996,0.0008
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,0,16,-0.07737450000349783,-0.12528405725151265,-0.028923053472727056,False,0.9996,0.0008
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,0,16,-0.07737450000349783,-0.12528405725151265,-0.028923053472727056,False,0.9996,0.0008
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,1,1,-0.07717925236653382,-0.12234173838922459,-0.03330019822253519,False,0.9988,0.0024
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,1,1,-0.07717925236653382,-0.12234173838922459,-0.03330019822253519,False,0.9988,0.0024
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,1,1,-0.07717925236653382,-0.12234173838922459,-0.03330019822253519,False,0.9988,0.0024
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,1,8,-0.07868394605972472,-0.12774326065375077,-0.03164985638767597,False,0.9996,0.0008
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,1,8,-0.07868394605972472,-0.12774326065375077,-0.03164985638767597,False,0.9996,0.0008
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,1,8,-0.07868394605972472,-0.12774326065375077,-0.03164985638767597,False,0.9996,0.0008
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,1,16,-0.07568509510517281,-0.1259852105611831,-0.029345091467438703,False,0.9982,0.0036
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,1,16,-0.07568509510517281,-0.1259852105611831,-0.029345091467438703,False,0.9982,0.0036
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,1,16,-0.07568509510517281,-0.1259852105611831,-0.029345091467438703,False,0.9982,0.0036
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,2,1,-0.11195607588786474,-0.14529773315047104,-0.07491041212115082,False,1.0,0.0
