target,model,horizon,context,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mase_mean,mase_std,r2_mean,r2_std,train_time_mean,infer_time_mean
jitterWithGoogleDns,dlinear,1,32,2,0.31548639093720077,0.00662062255986411,1.1399942413879278,0.0017499282031756668,,,0.11125496019096251,0.0027285018148472673,0.24496787499992928,0.00104518750003985
jitterWithGoogleDns,dlinear,8,32,2,0.31795760536309126,0.00818475620820439,1.1408688681727206,0.001545458737809631,,,0.08758062273874634,0.002471984720909231,0.29471385450051457,0.0012347914998826499
jitterWithGoogleDns,ewma,1,32,2,0.3247623698826322,0.0,1.1761058776232929,0.0,,,0.054058663732312,0.0,8.125002750603016e-07,0.00040693749951965005
jitterWithGoogleDns,ewma,8,32,2,0.3339909858043298,0.0,1.201243540841922,0.0,,,-0.0115439889863899,0.0,6.665004548267461e-07,0.00030031249980305003
jitterWithGoogleDns,lightgbm,1,32,2,0.3273436948503652,0.0,1.145148487398238,0.0,,,0.1032012985951945,0.0,0.4037626455001373,0.00899114599997115
jitterWithGoogleDns,lightgbm,8,32,2,0.3319516238473777,0.0,1.1472309484624097,0.0,,,0.0773768418329379,0.0,2.8250414579997596,0.05531160400005315
jitterWithGoogleDns,lstm,1,32,2,0.3485058554978941,0.006448780671851159,1.159630017150666,0.0014725470720583242,,,0.0803753357440105,0.002335554435293708,11.568445625000095,0.1572422079998432
jitterWithGoogleDns,lstm,8,32,2,0.3464616575051461,0.011571282842014093,1.1659901482965755,0.0008783118720111724,,,0.0469569295597619,0.0014358076816379072,15.196297541499916,0.12139697849988801
jitterWithGoogleDns,persistence,1,32,2,0.3527533021743548,0.0,1.5004739168026482,0.0,,,-0.5396721842542287,0.0,2.9750000066997018e-05,4.58000158687355e-07
jitterWithGoogleDns,persistence,8,32,2,0.3673087426125943,0.0,1.531557433696971,0.0,,,-0.6443308994210175,0.0,8.993749997895318e-05,3.9750500491209095e-05
jitterWithGoogleDns,ridge,1,32,2,0.3183055339381109,0.0,1.1381724191089777,0.0,,,0.1140943371208373,0.0,0.0027959585004282,0.0001173339996967
jitterWithGoogleDns,ridge,8,32,2,0.3193451191728205,0.0,1.1400802841656097,0.0,,,0.0888423760600471,0.0,0.0128185829998983,0.0007368329997916
jitterWithGoogleDns,xgboost,1,32,2,0.3547809162356839,0.0,1.2030686840959963,0.0,,,0.0101891555678858,0.0,0.6286828749998676,0.00454681300016085
jitterWithGoogleDns,xgboost,8,32,2,0.3758794435863957,0.0,1.36010980779111,0.0,,,-0.2967927906077268,0.0,4.432504167000388,0.0315379795001717
machine01_CU,dlinear,1,32,2,3.2875336911064688,0.0110531208414408,10.266963968604887,0.08161681167021188,,,0.3511197941199863,0.010316167547651125,0.17291858350017714,0.00098350000007485
machine01_CU,dlinear,4,32,1,3.849843726535622,,12.306567684294246,,,,0.0628493796754608,,0.1776372920003268,0.0009877499996946
machine01_CU,dlinear,8,32,2,3.8969673131737927,0.0066822109875791375,12.50236164926202,0.0033910306715604064,,,0.04024468244838255,0.0005206311720297685,0.20974358349985775,0.00099643749990715
machine01_CU,drift,1,32,1,2.840223049095576,,11.58759614782557,,,,0.1734798807640709,,3.329996616230346e-07,4.716599960374879e-05
machine01_CU,drift,4,32,1,4.532005828250436,,16.653761262896353,,,,-0.7161694907761511,,4.580006134347059e-07,8.175000039045699e-05
