run_id,experiment_stage,eligible_for_final_claims,evaluation_role,scope,target,model,horizon,context,seed,mae,rmse,mse,smape,mape,mape_fraction_excluded,mase,r2,nrmse,medae,maxae,peak_recall,peak_precision,training_time_sec,inference_time_sec,n_parameters,runtime_sec,n_test_windows
local__averageRttWithGoogleDns__h1__c32__lightgbm__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,lightgbm,1,32,0,0.445473655884999,1.4235835583163332,2.026590147508593,9.83048785091502,11.20702636903729,0.0,,0.4117141826882294,0.0450600942713997,0.0505167636835601,21.9387496430386,,,0.3681638750003912,0.0081520419998923,-100,2.0907962089995635,4922
local__averageRttWithGoogleDns__h1__c32__lightgbm__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,lightgbm,1,32,1,0.445473655884999,1.4235835583163332,2.026590147508593,9.83048785091502,11.20702636903729,0.0,,0.4117141826882294,0.0450600942713997,0.0505167636835601,21.9387496430386,,,0.3766160830000444,0.0073360420001336,-100,2.0547225000000253,4922
local__averageRttWithGoogleDns__h1__c32__xgboost__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,xgboost,1,32,0,0.601184914919091,2.0865130439222597,4.353536682457733,11.11515586301413,16.310237462923254,0.0,,-0.2637601582071061,0.0660435236894964,0.071418535232544,28.219975387573243,,,0.8146812909999426,0.0032391670001743,600,2.5189228330000333,4922
local__averageRttWithGoogleDns__h1__c32__xgboost__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,xgboost,1,32,1,0.601184914919091,2.0865130439222597,4.353536682457733,11.11515586301413,16.310237462923254,0.0,,-0.2637601582071061,0.0660435236894964,0.071418535232544,28.219975387573243,,,0.8969338329998209,0.003425208000408,600,2.610635041999558,4922
local__averageRttWithGoogleDns__h8__c32__ewma__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ewma,8,32,0,0.3457607019364708,1.4079537338227082,1.9823337165853052,6.864864672558696,7.551640353807546,0.0,,0.4550124357268713,0.0445653699814107,0.0237924637239193,24.91677520214052,,,5.840001904289238e-07,0.0002510419999453,1,1.7209495829993102,4915
local__averageRttWithGoogleDns__h8__c32__ewma__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ewma,8,32,1,0.3457607019364708,1.4079537338227082,1.9823337165853052,6.864864672558696,7.551640353807546,0.0,,0.4550124357268713,0.0445653699814107,0.0237924637239193,24.91677520214052,,,1.6670001059537751e-06,0.0002593750004962,1,1.7106502500000715,4915
local__averageRttWithGoogleDns__h8__c32__persistence__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,persistence,8,32,0,0.3641965157680569,1.6132576702610637,2.6026003106561544,6.423298570096519,7.887433929311702,0.0,,0.2844873735365593,0.0510637695141665,0.016,27.103,,,4.3792000724351965e-05,3.566699979273835e-05,0,2.066546707999805,4915
local__averageRttWithGoogleDns__h8__c32__persistence__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,persistence,8,32,1,0.3641965157680569,1.6132576702610637,2.6026003106561544,6.423298570096519,7.887433929311702,0.0,,0.2844873735365593,0.0510637695141665,0.016,27.103,,,4.6084000132395886e-05,3.841600027953973e-05,0,1.848814749999292,4915
local__averageRttWithGoogleDns__h8__c32__dlinear__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,dlinear,8,32,0,0.3666418911781097,1.5251065720460055,2.3259500560979176,7.285100093772765,7.742850396842938,0.0,,0.3605446726309554,0.0482735597140507,0.0397062644958496,29.42178134918213,,,0.2252189579994592,0.0010549170001468,528,2.0276952080002957,4915
local__averageRttWithGoogleDns__h8__c32__dlinear__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,dlinear,8,32,1,0.3706054099232352,1.5329278589796904,2.349867820836058,7.390625416258126,7.888488549657928,0.0,,0.3539691479155962,0.0485211236343395,0.0455146827697754,29.69009571075439,,,0.2250409159996707,0.0010283330002494,528,2.0034715000001597,4915
local__averageRttWithGoogleDns__h8__c32__ridge__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ridge,8,32,0,0.402149365090403,1.540382199588584,2.3727773208093645,8.644127525029125,8.841148265714747,0.0,,0.3476708175766083,0.0487570727562619,0.0993065062250908,29.86697279309233,,,0.0247165419996235,0.001392707999912,520,1.8014562500002285,4915
