family,family_size,model_a,method_a,model_b,method_b,fold,horizon,p_value_raw,p_value_holm,holm_rank,reject_holm_0.05,relative_mae_diff_mean,n_seeds
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,2,8,0.0048,0.0466666666666666,28,True,-0.0384025513275307,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ewma,independent,2,16,0.0009333333333333,0.0130666666666666,23,True,-0.0494191374067226,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,0,1,0.0,0.0,14,True,0.1962776936387077,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,0,8,0.0,0.0,13,True,0.203792315700288,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,0,16,0.0,0.0,16,True,0.1813808854274676,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,1,1,0.0,0.0,11,True,0.2198043751821649,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,1,8,0.0,0.0,10,True,0.2028003907746567,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,1,16,0.0,0.0,9,True,0.1949150057986219,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,2,1,0.0,0.0,8,True,0.2062961998850131,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,2,8,0.0,0.0,7,True,0.2311714704465325,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,lightgbm,independent,2,16,0.0,0.0,12,True,0.2096130055615273,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,0,1,0.0,0.0,6,True,-0.065605634066202,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,0,8,0.002,0.024,25,True,-0.0566673215590917,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,0,16,0.0,0.0,5,True,-0.0613469090263364,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,1,1,0.0,0.0,4,True,-0.0583771209883769,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,1,8,0.0,0.0,3,True,-0.0681868559460938,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,1,16,0.0,0.0,2,True,-0.0703396093595441,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,2,1,0.0001333333333333,0.0025333333333333,19,True,-0.0405306544300339,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,2,8,0.0046666666666666,0.0466666666666666,27,True,-0.0351433662674771,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,persistence,independent,2,16,0.0001333333333333,0.0025333333333333,18,True,-0.0468583450819297,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,0,1,0.2210666666666666,1.0,32,False,-0.0071174409454683,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,0,8,0.4158666666666666,1.0,35,False,0.0046636467437378,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,0,16,0.2308,1.0,34,False,-0.0082604402800891,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,1,1,0.2190666666666666,1.0,31,False,-0.0066286439694922,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,1,8,0.0074666666666666,0.0597333333333333,29,False,-0.0146186398955688,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,1,16,0.004,0.044,26,True,-0.0132888832497012,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,2,1,0.426,1.0,36,False,0.0010930434871022,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,2,8,0.2222666666666666,1.0,33,False,0.0082517809744085,3
cpu_dlinear_vs_deterministic,36,dlinear,independent,ridge,independent,2,16,0.0809333333333333,0.5665333333333334,30,False,0.0004530111825614,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,0,1,0.0,0.0,1,True,-0.0743164156139144,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,0,8,0.0,0.0,25,True,-0.0605435620959624,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,0,16,0.0,0.0,24,True,-0.0637769088881122,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,1,1,0.0,0.0,23,True,-0.108331348917898,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,1,8,0.0,0.0,22,True,-0.0961277193027368,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,1,16,0.0,0.0,21,True,-0.0946627875590696,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,2,1,0.0,0.0,20,True,-0.0525320654844956,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,2,8,0.0,0.0,19,True,-0.0436395361252659,3
cpu_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,2,16,0.0,0.0,18,True,-0.0459154370266849,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,0,1,0.0,0.0,17,True,-0.0712749926002366,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,0,8,0.0,0.0,16,True,-0.0590616008018338,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,0,16,0.0,0.0,15,True,-0.0633814066332959,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,1,1,0.0,0.0,26,True,-0.0924858430239742,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,1,8,0.0,0.0,14,True,-0.0796398215504218,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,1,16,0.0,0.0,12,True,-0.0827622984458137,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,2,1,0.0,0.0,11,True,-0.0579085877822091,3
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,2,8,0.0,0.0,10,True,-0.0489090407342605,3
