hierarchy,fold,horizon,seed,method,reconstructed_mae,source_mae,abs_diff,status
cpu_core_weighted,0,16,1,independent,311.96902692821976,311.96902692821976,0.0,ok
cpu_core_weighted,0,16,1,bottom_up,288.29303696583105,288.29303696583105,0.0,ok
cpu_core_weighted,0,16,1,wls,291.46569122897836,291.46569122897836,0.0,ok
cpu_core_weighted,0,16,1,mint,289.0127674347396,289.0127674347396,0.0,ok
cpu_core_weighted,0,16,2,independent,313.13619809782153,313.13619809782153,0.0,ok
cpu_core_weighted,0,16,2,bottom_up,298.6632399125921,298.6632399125921,0.0,ok
cpu_core_weighted,0,16,2,wls,298.67706348773856,298.67706348773856,0.0,ok
cpu_core_weighted,0,16,2,mint,297.7549694799136,297.7549694799136,0.0,ok
cpu_core_weighted,1,1,0,independent,244.81006573095843,244.81006573095843,0.0,ok
cpu_core_weighted,1,1,0,bottom_up,215.87112332157108,215.87112332157108,0.0,ok
cpu_core_weighted,1,1,0,wls,220.8695678040258,220.8695678040258,0.0,ok
cpu_core_weighted,1,1,0,mint,220.46321933606842,220.4632193360684,2.842170943040401e-14,ok
cpu_core_weighted,1,1,1,independent,242.64833231768654,242.64833231768657,2.842170943040401e-14,ok
cpu_core_weighted,1,1,1,bottom_up,216.45577748533304,216.45577748533304,0.0,ok
cpu_core_weighted,1,1,1,wls,220.7997104040726,220.7997104040726,0.0,ok
cpu_core_weighted,1,1,1,mint,220.4969636523941,220.4969636523941,0.0,ok
cpu_core_weighted,1,1,2,independent,243.01432729285253,243.01432729285253,0.0,ok
cpu_core_weighted,1,1,2,bottom_up,218.9948482021104,218.9948482021104,0.0,ok
cpu_core_weighted,1,1,2,wls,222.0688004227875,222.0688004227875,0.0,ok
cpu_core_weighted,1,1,2,mint,221.94120951031718,221.9412095103172,2.842170943040401e-14,ok
cpu_core_weighted,1,8,0,independent,243.9535971298482,243.9535971298482,0.0,ok
cpu_core_weighted,1,8,0,bottom_up,220.94272894643706,220.94272894643703,2.842170943040401e-14,ok
cpu_core_weighted,1,8,0,wls,225.4138169443621,225.4138169443621,0.0,ok
cpu_core_weighted,1,8,0,mint,225.07423767912587,225.07423767912587,0.0,ok
cpu_core_weighted,1,8,1,independent,244.75094393649138,244.75094393649135,2.842170943040401e-14,ok
cpu_core_weighted,1,8,1,bottom_up,221.8689985740638,221.8689985740638,0.0,ok
cpu_core_weighted,1,8,1,wls,225.19290660530032,225.19290660530032,0.0,ok
cpu_core_weighted,1,8,1,mint,225.03528826235143,225.03528826235143,0.0,ok
cpu_core_weighted,1,8,2,independent,245.29954034929168,245.29954034929168,0.0,ok
cpu_core_weighted,1,8,2,bottom_up,220.63034228846428,220.63034228846428,0.0,ok
cpu_core_weighted,1,8,2,wls,225.84243728526505,225.84243728526505,0.0,ok
cpu_core_weighted,1,8,2,mint,225.43607361382146,225.43607361382143,2.842170943040401e-14,ok
cpu_core_weighted,1,16,0,independent,244.70470965909868,244.70470965909868,0.0,ok
cpu_core_weighted,1,16,0,bottom_up,219.28582870155822,219.28582870155824,2.842170943040401e-14,ok
cpu_core_weighted,1,16,0,wls,223.47017320151866,223.47017320151863,2.842170943040401e-14,ok
cpu_core_weighted,1,16,0,mint,222.91187586701875,222.91187586701875,0.0,ok
cpu_core_weighted,1,16,1,independent,244.18648099606082,244.1864809960608,2.842170943040401e-14,ok
cpu_core_weighted,1,16,1,bottom_up,220.29816729323775,220.29816729323775,0.0,ok
cpu_core_weighted,1,16,1,wls,224.28053858684007,224.28053858684007,0.0,ok
cpu_core_weighted,1,16,1,mint,224.0059790014457,224.0059790014457,0.0,ok
cpu_core_weighted,1,16,2,independent,242.7718505845469,242.7718505845469,0.0,ok
cpu_core_weighted,1,16,2,bottom_up,222.7954970533882,222.7954970533882,0.0,ok
cpu_core_weighted,1,16,2,wls,224.50303097755298,224.50303097755295,2.842170943040401e-14,ok
