hierarchy,seed,fold,horizon,method,threshold_name,threshold_value,n_peak,peak_mae,signed_bias,max_underpred,pred_to_target_range_ratio
cpu_core_weighted,1,2,16,wls,q90,1175.319999997194,490,1253.6146297949836,-927.757773083699,-6871.316617696977,0.8541175429796638
cpu_core_weighted,1,2,16,wls,q95,1931.1733333257325,273,1882.7493695367154,-1621.1392420802124,-6871.316617696977,0.8541175429796638
cpu_core_weighted,1,2,16,mint,q90,1175.319999997194,490,1254.9341568671568,-933.5307248217945,-6866.178628452228,0.8469312948687274
cpu_core_weighted,1,2,16,mint,q95,1931.1733333257325,273,1884.9388154572146,-1631.072060051507,-6866.178628452228,0.8469312948687274
cpu_core_weighted,2,0,1,independent,q90,1040.8933333239218,769,1091.242060873622,-619.187807375571,-6871.045781061112,0.8305075961605547
cpu_core_weighted,2,0,1,independent,q95,1465.1299999848277,399,1800.9070744384437,-1228.4801869596115,-6871.045781061112,0.8305075961605547
cpu_core_weighted,2,0,1,bottom_up,q90,1040.8933333239218,769,1102.3863828299975,-720.6119701371308,-6851.928186811787,0.8021489317402232
cpu_core_weighted,2,0,1,bottom_up,q95,1465.1299999848277,399,1816.7868084182676,-1366.7243524107269,-6851.928186811787,0.8021489317402232
cpu_core_weighted,2,0,1,wls,q90,1040.8933333239218,769,1089.6870898470404,-681.6458800080628,-6859.272964232587,0.8053357905065688
cpu_core_weighted,2,0,1,wls,q95,1465.1299999848277,399,1803.1380352646718,-1313.6124068534232,-6859.272964232587,0.8053357905065688
cpu_core_weighted,2,0,1,mint,q90,1040.8933333239218,769,1092.7531899495102,-694.740958345359,-6856.804653058017,0.8012178476391147
cpu_core_weighted,2,0,1,mint,q95,1465.1299999848277,399,1806.9856385831267,-1331.4613900440702,-6856.804653058017,0.8012178476391147
cpu_core_weighted,2,0,8,independent,q90,1042.9466666635133,662,1094.3487711866965,-707.9444385219023,-6931.040554454309,0.7594494388077644
cpu_core_weighted,2,0,8,independent,q95,1467.2066666604928,338,1816.6009359420907,-1386.0092253391238,-6931.040554454309,0.7594494388077644
cpu_core_weighted,2,0,8,bottom_up,q90,1042.9466666635133,662,1118.1779352275078,-798.4913545372327,-6978.5901921629,0.7388852432152418
cpu_core_weighted,2,0,8,bottom_up,q95,1467.2066666604928,338,1855.9496237926758,-1540.2041527498516,-6978.5901921629,0.7388852432152418
cpu_core_weighted,2,0,8,wls,q90,1042.9466666635133,662,1100.3233372866964,-762.363952316088,-6959.61831589609,0.732261945294548
cpu_core_weighted,2,0,8,wls,q95,1467.2066666604928,338,1833.2491206193354,-1478.6817684638092,-6959.61831589609,0.732261945294548
cpu_core_weighted,2,0,8,mint,q90,1042.9466666635133,662,1104.6061576509953,-775.016356779066,-6966.262575853791,0.7345815320629875
cpu_core_weighted,2,0,8,mint,q95,1467.2066666604928,338,1838.8595609395675,-1500.2279091119676,-6966.262575853791,0.7345815320629875
cpu_core_weighted,2,0,16,independent,q90,1043.5733333087214,563,1105.9699755709703,-675.0576605789265,-6879.576592946493,0.8338215255804794
cpu_core_weighted,2,0,16,independent,q95,1468.3999999969562,296,1796.6408070265106,-1300.2390277159634,-6879.576592946493,0.8338215255804794
cpu_core_weighted,2,0,16,bottom_up,q90,1043.5733333087214,563,1148.420052674977,-801.3271248813293,-6960.924087688349,0.7570997862616827
