hierarchy,fold,horizon,method,ewma_alpha,ewma_top_mae,comparator,comparator_top_mae,rel_mae_vs_comparator,pct_change_vs_comparator
cpu_core_weighted,2,16,independent,0.9,346.84875658370987,persistence,345.9168828909167,1.002693923710821,0.2693923710821
cpu_core_weighted,2,16,independent,0.9,346.84875658370987,ridge,329.55849653850856,1.05246491966315,5.246491966314992
cpu_core_weighted,2,16,independent,0.9,346.84875658370987,lightgbm,272.5729540826915,1.272498798536281,27.2498798536281
cpu_core_weighted,2,16,bottom_up,0.9,346.84875658370987,persistence,345.9168828909167,1.002693923710821,0.2693923710821
cpu_core_weighted,2,16,bottom_up,0.9,346.84875658370987,ridge,309.1917520099947,1.1217917500350978,12.17917500350978
cpu_core_weighted,2,16,bottom_up,0.9,346.84875658370987,lightgbm,242.2793927587448,1.4316065127713622,43.16065127713622
cpu_core_weighted,2,16,wls,0.9,346.84875658371,persistence,345.91688289091684,1.002693923710821,0.2693923710821
cpu_core_weighted,2,16,wls,0.9,346.84875658371,ridge,309.302647125704,1.121389551000987,12.138955100098702
cpu_core_weighted,2,16,wls,0.9,346.84875658371,lightgbm,240.94864579481523,1.4395132018259034,43.95132018259034
cpu_core_weighted,2,16,mint,0.9,346.8487565837098,persistence,345.91688289091655,1.0026939237108214,0.2693923710821444
cpu_core_weighted,2,16,mint,0.9,346.8487565837098,ridge,308.299592838893,1.1250379975849054,12.50379975849054
cpu_core_weighted,2,16,mint,0.9,346.8487565837098,lightgbm,240.0707791264241,1.444777068853745,44.47770688537449
disk_ud,0,1,independent,0.9,1868493509.4348843,persistence,1848015504.270662,1.0110810786581057,1.1081078658105703
disk_ud,0,1,independent,0.9,1868493509.4348843,ridge,2194093318.965312,0.8516016585456931,-14.839834145430686
disk_ud,0,1,bottom_up,0.9,1868493509.434882,persistence,1848015504.270662,1.0110810786581046,1.1081078658104593
disk_ud,0,1,bottom_up,0.9,1868493509.434882,ridge,2567684784.788605,0.7276958295286674,-27.23041704713326
disk_ud,0,1,top_down,0.9,1868493509.4348843,persistence,1848015504.270662,1.0110810786581057,1.1081078658105703
disk_ud,0,1,top_down,0.9,1868493509.4348843,ridge,2194093318.965312,0.8516016585456931,-14.839834145430686
disk_ud,0,1,wls,0.9,1868493509.3882012,persistence,1848015504.311834,1.0110810786103186,1.1081078610318595
disk_ud,0,1,wls,0.9,1868493509.3882012,ridge,2281490512.4404535,0.818979302872279,-18.102069712772096
disk_ud,0,1,mint,0.9,1868493509.4714372,persistence,1848015504.3405612,1.0110810786396423,1.108107863964225
disk_ud,0,1,mint,0.9,1868493509.4714372,ridge,2244289937.2821035,0.8325544210808314,-16.744557891916855
disk_ud,0,8,independent,0.9,1870006271.463248,persistence,1849506840.3956947,1.011083728170028,1.1083728170028007
disk_ud,0,8,independent,0.9,1870006271.463248,ridge,2193351964.750705,0.8525792036645573,-14.74207963354427
disk_ud,0,8,bottom_up,0.9,1870006271.4632452,persistence,1849506840.3956947,1.0110837281700265,1.1083728170026452
disk_ud,0,8,bottom_up,0.9,1870006271.4632452,ridge,2567950543.7629538,0.7282096129168539,-27.179038708314607
disk_ud,0,8,top_down,0.9,1870006271.463248,persistence,1849506840.3956947,1.011083728170028,1.1083728170028007
disk_ud,0,8,top_down,0.9,1870006271.463248,ridge,2193351964.750705,0.8525792036645573,-14.74207963354427
disk_ud,0,8,wls,0.9,1870006271.4373524,persistence,1849506840.3727536,1.011083728168568,1.1083728168568063
disk_ud,0,8,wls,0.9,1870006271.4373524,ridge,2290258401.122334,0.8165044915983986,-18.349550840160145
disk_ud,0,8,mint,0.9,1870006271.475142,persistence,1849506840.4040945,1.011083728171867,1.108372817186698
disk_ud,0,8,mint,0.9,1870006271.475142,ridge,2262442828.4406447,0.8265429950174769,-17.345700498252313
