claim,hierarchy,base_model,horizon,fold,method,threshold,effect,verdict,best_model,lgbm_high_load_mae,best_high_load_mae,aspect
P2,cpu_core_weighted,lightgbm,16,0,wls,q90,0.08318584070796464,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,0,mint,q90,0.08495575221238938,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,0,bottom_up,q95,0.12374581939799334,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,0,wls,q95,0.08361204013377932,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,0,mint,q95,0.09698996655518399,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,1,bottom_up,q90,0.08072916666666663,support,,,,
P2,cpu_core_weighted,lightgbm,16,1,wls,q90,0.08854166666666663,support,,,,
P2,cpu_core_weighted,lightgbm,16,1,mint,q90,0.08854166666666663,support,,,,
P2,cpu_core_weighted,lightgbm,16,1,bottom_up,q95,0.17391304347826086,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,1,wls,q95,0.13043478260869568,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,1,mint,q95,0.13043478260869568,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,2,bottom_up,q90,-0.01224489795918371,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,2,wls,q90,-0.0020408163265306367,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,2,mint,q90,-0.0020408163265306367,uncertain,,,,
P2,cpu_core_weighted,lightgbm,16,2,bottom_up,q95,0.15384615384615385,support,,,,
P2,cpu_core_weighted,lightgbm,16,2,wls,q95,0.1575091575091575,support,,,,
P2,cpu_core_weighted,lightgbm,16,2,mint,q95,0.1648351648351648,support,,,,
P2,cpu_core_weighted,ridge,1,0,bottom_up,q90,-0.04681404421326407,contradict,,,,
P2,cpu_core_weighted,ridge,1,0,wls,q90,-0.016905071521456483,uncertain,,,,
P2,cpu_core_weighted,ridge,1,0,mint,q90,-0.032509752925877766,contradict,,,,
P2,cpu_core_weighted,ridge,1,0,bottom_up,q95,-0.010025062656641603,uncertain,,,,
P2,cpu_core_weighted,ridge,1,0,wls,q95,-0.020050125313283207,contradict,,,,
P2,cpu_core_weighted,ridge,1,0,mint,q95,-0.012531328320801949,uncertain,,,,
