hierarchy,base_model,horizon,fold,threshold,method,delta_high_load_mae,rel_delta_high_load_mae,delta_precision,delta_recall,delta_f1,delta_false_alarms_per_day,rel_delta_false_alarms_per_day,delta_signed_peak_bias,delta_peak_magnitude_mae,coherence_independent,coherence_method,coherence_improved,operational_class
cpu_core_weighted,dlinear,16,0,q95,mint,0.06582484605610528,0.008956145671836656,0.03455589924878488,-0.0033444816053511683,0.015720203712501934,-9.370268552535052,-0.14285714285714282,-0.43618879028164326,0.06582484605610528,116.57592199027869,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,1,q90,bottom_up,-0.057793722391431324,-0.012414733092847515,0.051282169968524305,-0.015625,0.024341192787794674,-21.29885062599483,-0.2083333333333333,-0.046350520988796884,-0.057793722391431324,104.45388158119103,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,1,q90,wls,-0.06454710293120414,-0.013865434196816216,0.041708242777147464,-0.015625,0.018841327144576314,-17.985696084173412,-0.17592592592592587,-0.028766055684533498,-0.06454710293120414,104.45388158119103,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,1,q90,mint,-0.06520624111794326,-0.014007024395908202,0.04172848835601917,-0.0234375,0.015496368038740993,-18.932311667550962,-0.18518518518518515,-0.030146549493822672,-0.06520624111794326,104.45388158119103,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,1,q95,bottom_up,-0.12440394729252624,-0.017223976662489926,0.0335072231139647,-0.004830917874396157,0.011012987012986919,-4.259770125198969,-0.15000000000000005,-0.11372334330688005,-0.12440394729252624,104.45388158119103,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,1,q95,wls,-0.10634202942513404,-0.014723267813628002,0.02531394580304036,-0.004830917874396157,0.007702642185400732,-3.3131545418214188,-0.11666666666666665,-0.07057896990935841,-0.10634202942513404,104.45388158119103,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,1,q95,mint,-0.10877283049002617,-0.015059817109080888,0.03119629874421681,0.0,0.013007681973199126,-3.786462333510194,-0.13333333333333336,-0.07396608116766146,-0.10877283049002617,104.45388158119103,0.0,True,operationally_harmful
cpu_core_weighted,dlinear,16,2,q90,bottom_up,0.024854242924844172,0.004664666584872992,-0.01075371489623067,-0.006122448979591799,-0.009109243045657855,5.37985712669942,0.034602076124567505,-0.16255623938277797,0.024854242924844172,122.93967073314612,0.0,True,coherence_only
cpu_core_weighted,dlinear,16,2,q90,wls,-0.0133110280462434,-0.0024982256721870397,0.0011957933415692734,-0.006122448979591799,-0.0016643237396063437,-2.1519428506797738,-0.01384083044982704,-0.10036346222901393,-0.0133110280462434,122.93967073314612,0.0,True,coherence_only
cpu_core_weighted,dlinear,16,2,q90,mint,-0.008923492575769743,-0.001674769083267754,-0.0047548851470060605,-0.008163265306122436,-0.006151525296437366,1.075971425339901,0.006920415224913611,-0.11477161062915808,-0.008923492575769743,122.93967073314612,0.0,True,coherence_only
cpu_core_weighted,dlinear,16,2,q95,bottom_up,0.03121802682475039,0.003913445771722718,0.0023418274192268385,0.01831501831501825,0.011984128908175462,1.0759714253398869,0.02500000000000009,-0.3057868559247625,0.03121802682475039,122.93967073314612,0.0,True,coherence_only
cpu_core_weighted,dlinear,16,2,q95,wls,-0.009404246577838116,-0.0011789024723721526,0.008008649341288643,0.01831501831501825,0.0143201382522129,0.0,0.0,-0.18879513749371313,-0.009404246577838116,122.93967073314612,0.0,True,coherence_only
cpu_core_weighted,dlinear,16,2,q95,mint,-0.0050999419974164795,-0.0006393212023892935,0.008008649341288643,0.01831501831501825,0.0143201382522129,0.0,0.0,-0.21589851055221576,-0.0050999419974164795,122.93967073314612,0.0,True,coherence_only
cpu_core_weighted,lightgbm,1,0,q90,bottom_up,-0.33772736588075736,-0.08789307430972856,0.020988426953482242,0.07282184655396617,0.04291936116846096,1.2646604518591573,0.008875739644970447,0.18741670255485254,-0.33772736588075736,172.09132864608608,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,0,q90,wls,-0.39565280874746867,-0.10296808974719648,0.008362069473671796,0.07932379713914173,0.037794929508068176,10.538837098826264,0.07396449704142005,0.10590485244247438,-0.39565280874746867,172.09132864608608,0.0,True,recall_focused_tradeoff
cpu_core_weighted,lightgbm,1,0,q90,mint,-0.40186136922258164,-0.1045838589217567,0.009140075271208192,0.0819245773732119,0.03929913650395955,10.538837098826264,0.07396449704142005,0.11103479702286312,-0.40186136922258164,172.09132864608608,0.0,True,recall_focused_tradeoff
cpu_core_weighted,lightgbm,1,0,q95,bottom_up,-0.6624588622040051,-0.11091908278008832,-0.00566560349169043,0.08270676691729317,0.030003694285790417,10.538837098826278,0.14285714285714293,0.164945605464192,-0.6624588622040051,172.09132864608608,0.0,True,recall_focused_tradeoff
