hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,recon_adjustment_l2,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count,neg_pred_rate,prediction_hash,model_config_hash,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,lightgbm_mae_native,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_lightgbm
memory_um,0,1,2,wls,dlinear,robustness_extension,1316841627.8783777,1316841627.8783777,3970721263.3141193,0.4985590160549238,1.5168282897735474,True,456945698.1447493,0.0,True,557251829.7078817,276465658.71839315,276465658.71839315,572128364.1761534,5,2,0.0,62394d8ced524178,177793534259287c,native,0.9811710157287526,-1.882898427124735,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,1.017530846853994,1.0233642593234897,0.9691962545667394,0.7123316089538314
memory_um,0,1,2,mint,dlinear,robustness_extension,1317886610.2539024,1317886610.2539024,3972226700.878438,0.4981787167865921,1.5180319719749253,True,456945698.1447493,0.0,True,583102297.7886411,276387067.07622766,276387067.07622766,572429049.639058,5,2,0.0,62394d8ced524178,177793534259287c,native,0.9819496260013214,-1.8050373998678593,1294154012.0869985,1286777035.528772,1358694507.6124406,1848635679.4026904,1.0183383105451507,1.0241763521310796,0.9699653622430199,0.7128968811635847
memory_um,0,8,0,independent,dlinear,experiment-freeze-v2:memory_dlinear,1351523873.7521622,1351523873.7521622,3972077490.022633,0.496896231899538,1.5555720474501664,True,411277892.719184,411277892.719184,False,0.0,262265333.2811841,262265333.28118408,549070948.1062276,0,0,0.0,e87a6bef76c65000,177793534259287c,native,1.0,0.0,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,1.0464190762130836,1.0523798613534692,0.9958495165949166,0.885476284403746
memory_um,0,8,0,bottom_up,dlinear,experiment-freeze-v2:memory_dlinear,1250599025.5425317,1250599025.5425317,3949219523.0053005,0.5026699562329187,1.4394099316214661,True,411277892.719184,0.0,True,655042798.9054618,262265333.2811841,262265333.28118408,549070948.1062276,0,0,0.0,e87a6bef76c65000,177793534259287c,native,0.9253251458078663,-7.4674854192133715,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,0.9682778842730042,0.973793548652161,0.9214845991458843,0.819353471975304
memory_um,0,8,0,wls,dlinear,experiment-freeze-v2:memory_dlinear,1273168433.9610877,1273168433.9610877,3945481946.373629,0.5036108659707532,1.4653867874841175,True,411277892.719184,0.0,True,386153443.9655285,267428650.15255406,267428650.15255404,548077883.7986716,2,5,0.0,e87a6bef76c65000,177793534259287c,native,0.9420243761040339,-5.797562389596611,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,0.9857522774129895,0.9913674823159515,0.9381145195638301,0.8341402443703569
memory_um,0,8,0,mint,dlinear,experiment-freeze-v2:memory_dlinear,1266422328.8764336,1266422328.8764336,3944763140.2643356,0.5037917184215077,1.457622179915836,True,411277892.719184,0.0,True,440023134.6043844,265909607.69162026,265909607.69162023,547584167.8624038,2,5,0.0,e87a6bef76c65000,177793534259287c,native,0.9370328955866197,-6.296710441338027,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,0.9805290969810213,0.9861145487410866,0.9331437561034702,0.8297204067481233
memory_um,0,8,1,independent,dlinear,robustness_extension,1368538216.7719264,1368538216.7719264,3986027363.369848,0.49335624164188463,1.5751551542833406,True,456630295.9656225,456630295.9656225,False,0.0,261477840.0220318,261477840.02203184,538458799.1598111,0,0,0.0,1e023701456beee2,177793534259287c,native,1.0,0.0,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,1.0595924529109628,1.065628278415056,1.008386272771019,0.8966235512269989
memory_um,0,8,1,bottom_up,dlinear,robustness_extension,1254704821.655651,1254704821.655651,3950688601.9478235,0.5022998815979366,1.444135605943716,True,456630295.9656225,0.0,True,750627289.5283396,261477840.0220318,261477840.02203184,538458799.1598111,0,0,0.0,1e023701456beee2,177793534259287c,native,0.9168211791814023,-8.317882081859773,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,0.9714568021295433,0.9769905747855392,0.9245098916722648,0.8220434615177535
memory_um,0,8,1,wls,dlinear,robustness_extension,1278375137.7857482,1278375137.7857482,3948078822.939795,0.50295721424912,1.4713795805721952,True,456630295.9656225,0.0,True,440019127.57729304,266933020.69205505,266933020.69205505,537366969.0456254,2,5,0.0,1e023701456beee2,177793534259287c,native,0.9341172370042741,-6.588276299572593,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,0.98978357446377,0.9954217431066933,0.9419509989539026,0.8375515143051244
memory_um,0,8,1,mint,dlinear,robustness_extension,1271154575.830348,1271154575.830348,3946692387.9038906,0.5033062430125954,1.4630688843552504,True,456630295.9656225,0.0,True,499148701.84627837,264803860.66946608,264803860.66946608,536514221.7790895,2,5,0.0,1e023701456beee2,177793534259287c,native,0.9288411242389091,-7.115887576109092,1291570370.298706,1284254786.1130323,1357156730.239117,1526324191.3500135,0.984193045196882,0.9897993681438136,0.9366306392677165,0.8328208273407687
