experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,averageRttWithGoogleDns,lightgbm,point,q95,4.846699999999998,outer_1,0.2777674196860344,0.4523809523809524,0.3373493975903614,0.3864874682164911,13.49960466175375,1.0,8.377320167468424,13.898160385270659,83,84
development,False,averageRttWithGoogleDns,lightgbm,point,mad,2.8699258000044483,outer_1,0.2777674196860344,0.4357499041043345,0.9548387096774194,0.5984097267207199,1.5620783925214479,0.42736486486486486,1.5814170739352715,500.08559243429244,620,2607
development,False,jitterWithGoogleDns,persistence,point,q90,0.2760000000000002,outer_1,0.21076830308198322,1.0,1.0,1.0,1.9910254777070067,0.7664543524416136,1.9910254777070067,0.0,471,471
development,False,jitterWithGoogleDns,persistence,point,q95,0.6289499999999989,outer_1,0.21076830308198322,1.0,1.0,1.0,2.92479020979021,0.8286713286713286,2.92479020979021,0.0,286,286
development,False,jitterWithGoogleDns,persistence,point,mad,0.05303020000444726,outer_1,0.21076830308198322,1.0,1.0,1.0,1.0893796203796204,0.7122877122877123,1.0893796203796204,-0.2489070237629721,1001,1000
development,False,jitterWithGoogleDns,ridge,point,q90,0.2760000000000002,outer_1,0.20696962719478987,0.5964653902798233,0.5265392781316348,0.5593252902015052,2.684838168217852,0.5362903225806451,1.672642358205184,107.27892724184098,471,679
development,False,jitterWithGoogleDns,ridge,point,q95,0.6289499999999989,outer_1,0.20696962719478987,0.6358381502890174,0.32867132867132864,0.4333431121914421,5.024789317085675,0.7340425531914894,2.5709069346911697,19.663654877274794,286,173
development,False,jitterWithGoogleDns,ridge,point,mad,0.05303020000444726,outer_1,0.20696962719478987,0.38945827232796487,1.0,0.5605900948366702,0.855144976040688,0.001998001998001998,0.855144976040688,1790.8860359745843,1001,8196
development,False,jitterWithGoogleDns,lightgbm,point,q90,0.2760000000000002,outer_1,0.2149270456040615,0.5020576131687243,0.6475583864118896,0.5656003708854892,2.212229495569879,0.5967213114754099,1.7279734476695412,166.0209848499024,471,972
development,False,jitterWithGoogleDns,lightgbm,point,q95,0.6289499999999989,outer_1,0.2149270456040615,0.4804177545691906,0.486013986013986,0.4831996674884991,3.753696733754242,0.7697841726618705,2.608559303534261,60.73331379816519,286,383
development,False,jitterWithGoogleDns,lightgbm,point,mad,0.05303020000444726,outer_1,0.2149270456040615,0.5814648729446936,0.995004995004995,0.7339949399126467,0.940161536065772,0.36646586345381527,0.9363457940997267,584.6825988192214,1001,3345
development,False,cluster_UM,persistence,point,q90,121055662080.0,outer_1,843922661.6452392,1.0,1.0,1.0,2112548679.1053274,0.14436762911752746,2112548679.1053274,0.24689194756769428,2459,2460
development,False,cluster_UM,persistence,point,q95,127120771481.59999,outer_1,843922661.6452392,1.0,1.0,1.0,9155978127.36,0.275,9155978127.36,0.0,400,400
development,False,cluster_UM,persistence,point,mad,119733361508.352,outer_1,843922661.6452392,1.0,1.0,1.0,1257159858.779791,0.01918567469622682,1257159858.779791,0.24689194756769428,4691,4692
development,False,cluster_UM,ridge,point,q90,121055662080.0,outer_1,834422178.6472346,0.9661344944363812,0.8853192354615698,0.9239630871192358,2145791315.7795382,0.23334864492420762,1960033132.601646,-27.15811423244637,2459,2067
development,False,cluster_UM,ridge,point,q95,127120771481.59999,outer_1,834422178.6472346,1.0,0.94,0.9690721649484536,7295053736.803168,0.36436170212765956,7306766982.619329,-12.344597378384714,400,326
development,False,cluster_UM,ridge,point,mad,119733361508.352,outer_1,834422178.6472346,0.9871551905664351,0.9944574717544233,0.9907928766363534,1196326348.3242946,0.016934619506966776,1195549623.5191941,20.73892359568632,4691,4749
development,False,cluster_UM,lightgbm,point,q90,121055662080.0,outer_1,1387727524.6296232,0.8421833283892021,1.0,0.9143317230273753,2394550457.666778,0.10573403822692151,2394550457.666778,225.16545618173717,2459,3371
development,False,cluster_UM,lightgbm,point,q95,127120771481.59999,outer_1,1387727524.6296232,0.7945492662473794,0.995,0.8835482038155374,6367558858.362887,0.24874371859296482,6356988194.242236,19.50446385784785,400,477
