experiment_stage,eligible_for_final_claims,family,method,base_model,horizon,outer_fold,machine,mae,mase,mase_valid,nmae_train_range,n_parameters,train_seconds,infer_seconds,n_test
development,False,CU,global_residual,ridge,16,outer_0,machine04,3.3627779126097863,1.8644836574545474,True,0.03380053742873056,4336,0.36982245900071575,29.49320912499752,3707
development,False,CU,global_residual,ridge,16,outer_0,machine05,0.6012368343569019,0.7104740115623457,True,0.058372508189286715,4336,0.36982245900071575,29.49320912499752,3707
development,False,CU,global_residual,ridge,16,outer_0,machine06,0.058705019303888495,1.076940449571566,True,0.03634379981314228,4336,0.36982245900071575,29.49320912499752,3707
development,False,CU,global_residual,ridge,16,outer_0,machine07,0.9484158397358489,0.6558731627572372,True,0.07901636248929374,4336,0.36982245900071575,29.49320912499752,3707
development,False,CU,global_embed,ridge,16,outer_0,machine01,4.265377315106771,1.6323280592414064,True,0.04321152186834664,3728,0.46375295799953165,0.0768430409989378,3707
development,False,CU,global_embed,ridge,16,outer_0,machine02,1.264931627805314,0.629297525535904,True,0.0884138211829273,3728,0.46375295799953165,0.0768430409989378,3707
development,False,CU,global_embed,ridge,16,outer_0,machine03,0.9484365373106911,0.9547545511370389,True,0.015553333843804714,3728,0.46375295799953165,0.0768430409989378,3707
development,False,CU,global_embed,ridge,16,outer_0,machine04,4.0423877912910235,2.2412916255021447,True,0.040631550281278024,3728,0.46375295799953165,0.0768430409989378,3707
development,False,CU,global_embed,ridge,16,outer_0,machine05,0.6190500880192916,0.7315237095603612,True,0.0601019502924105,3728,0.46375295799953165,0.0768430409989378,3707
development,False,CU,global_embed,ridge,16,outer_0,machine06,0.07118389707415605,1.3058647970194917,True,0.04406937150961959,3728,0.46375295799953165,0.0768430409989378,3707
development,False,CU,global_embed,ridge,16,outer_0,machine07,0.9863381296840339,0.6820981699800609,True,0.08217582196205461,3728,0.46375295799953165,0.0768430409989378,3707
development,False,UM,local,ridge,1,outer_0,machine01,431364487.1115283,1.471215336180915,True,0.01427971080962192,33,0.0011473688568262982,0.00014187499982654117,8276
development,False,UM,local,ridge,1,outer_0,machine02,230515824.39887717,1.50656158797971,True,0.054701985040213334,33,0.0011473688568262982,0.0001368749981338624,8276
development,False,UM,local,ridge,1,outer_0,machine03,559235518.7529912,2.0553859302724624,True,0.01780649596064379,33,0.0011473688568262982,0.00014745899898116477,8276
development,False,UM,local,ridge,1,outer_0,machine04,438174764.57702976,1.7254223605390224,True,0.02737488523233868,33,0.0011473688568262982,0.00017591700088814832,8276
development,False,UM,local,ridge,1,outer_0,machine05,60770321.31929644,1.0086712759534908,True,0.024984009545237534,33,0.0011473688568262982,0.00024204099827329628,8276
development,False,UM,local,ridge,1,outer_0,machine06,5206775.023727161,0.988285639863651,True,0.017391817166643484,33,0.0011473688568262982,0.0002213750012742821,8276
development,False,UM,local,ridge,1,outer_0,machine07,106869919.74479176,1.2384117595323378,True,0.04285297180317399,33,0.0011473688568262982,0.0003750420000869781,8276
development,False,UM,global_pooled,ridge,1,outer_0,machine01,1002503899.3267741,3.4191482037541645,True,0.033186472682911035,33,0.08637404200271703,0.076111000002129,8276
development,False,UM,global_pooled,ridge,1,outer_0,machine02,976556947.3447303,6.382395608548345,True,0.23173942033642025,33,0.08637404200271703,0.076111000002129,8276
