experiment_stage,eligible_for_final_claims,hierarchy,method,model,horizon,context,outer_fold,top_mae,top_mase,bottom_mae_macro,bottom_mase_macro,worst_child_mae,coherence_error,coherent,adjustment_mae,train_seconds_total,infer_seconds_total,n_test,top_metric_scale,top_mae_vs_weighted_mean,bond_agg_rel_error,bond_host
development,False,memory_um,bottom_up,ridge,8,32,outer_2,1105377507.1309767,1.0474378015242733,224244437.99396488,1.1198426686254053,624820134.8466765,0.0,True,428265056.35127103,0.07707212599780178,0.013097709001158364,8272,,,,
development,False,memory_um,top_down,ridge,8,32,outer_2,1063739741.8137753,1.007982530286277,249804219.3676285,4.482302395596263,596691728.036561,9.101410207250363e-06,True,61180722.33589586,0.07707212599780178,0.01314954300323734,8272,,,,
development,False,memory_um,ols,ridge,8,32,outer_2,1056590027.3318185,1.0012075767792668,240968884.0585515,2.5258542569132194,599559537.1668673,0.0,True,107066264.08784346,0.07707212599780178,0.013011668001126964,8272,,,,
development,False,memory_um,wls,ridge,8,32,outer_2,1064527863.0082309,1.0087293411503753,223031947.13097054,1.115825386798578,598099219.7586842,0.0,True,305044415.4205559,0.07707212599780178,0.012931666999065783,8272,,,,
development,False,memory_um,mint,ridge,8,32,outer_2,1063940225.901815,1.0081725057571567,222174121.57506785,1.1133234360065896,595128490.4955506,0.0,True,302292012.774828,0.07707212599780178,0.01302341800328577,8272,,,,
development,False,memory_um,bottom_up_nn,ridge,8,32,outer_2,1105377507.1309767,1.0474378015242733,224244437.99396488,1.1198426686254053,624820134.8466765,0.0,True,428265056.35127103,0.07707212599780178,0.013162918003217783,8272,,,,
development,False,memory_um,ols_nn,ridge,8,32,outer_2,1056590027.3318185,1.0012075767792668,240968884.0585515,2.5258542569132194,599559537.1668673,0.0,True,107066264.08784346,0.07707212599780178,0.01296054200429353,8272,,,,
development,False,disk_ud,independent,ridge,8,32,outer_2,1788411406.9318063,1.204191921103523,352014014.0528803,1.8703643137306254,1167697633.7927384,661735607.2129916,False,0.0,0.08168983200084767,0.013169920002837898,8272,,,,
development,False,disk_ud,bottom_up,ridge,8,32,outer_2,1814899348.1047177,1.2220270593963427,352014014.0528803,1.8703643137306254,1167697633.7927384,0.0,True,661735607.2129916,0.08168983200084767,0.013366128005145583,8272,,,,
development,False,disk_ud,top_down,ridge,8,32,outer_2,1788411406.9318063,1.204191921103523,406697443.6237336,4.7172899738102165,1156963400.1455228,6.996317112699468e-05,True,94533658.17328453,0.08168983200084767,0.01339896200443036,8272,,,,
development,False,disk_ud,ols,ridge,8,32,outer_2,1772761785.0770974,1.1936545536204468,395274176.8735382,6.067673449059307,1156275771.9166498,0.0,True,165433901.803079,0.08168983200084767,0.013231420005467953,8272,,,,
development,False,disk_ud,wls,ridge,8,32,outer_2,1755673173.309065,1.182148270360242,350665474.7576017,1.860846021615193,1154538401.0802243,0.0,True,356469262.40110874,0.08168983200084767,0.013204670005507069,8272,,,,
development,False,disk_ud,mint,ridge,8,32,outer_2,1756980501.263976,1.1830285341269762,351446304.7774283,1.86615689670051,1161729730.2485502,0.0,True,294449413.06864786,0.08168983200084767,0.013241045005997876,8272,,,,
development,False,disk_ud,bottom_up_nn,ridge,8,32,outer_2,1814899348.1047177,1.2220270593963427,352014014.0528803,1.8703643137306254,1167697633.7927384,0.0,True,661735607.2129916,0.08168983200084767,0.013396378006291343,8272,,,,
