hierarchy,seed,fold,horizon,reconciliation_method,top_mae_report,pct_vs_independent,coherence_error_before,coherence_error_after,bottom_mae_mean_native,worst_machine_mae_native,improved_machine_count,degraded_machine_count
cpu_core_weighted,1,1,1,mint,0.9343091680186191,-9.129000992387137,106.07289348706479,0.0,44.74651950885033,94.57409384825226,0,7
cpu_core_weighted,2,1,1,bottom_up,0.9279442720428407,-9.883976536822313,110.57446269932987,0.0,44.2859526387449,91.8932955445751,0,0
cpu_core_weighted,2,1,1,wls,0.9409694933168962,-8.619050203086964,110.57446269932987,0.0,44.98996805143879,95.90278118544236,0,7
cpu_core_weighted,2,1,1,mint,0.9404288538572761,-8.671553655822306,110.57446269932987,0.0,44.94154753509357,95.07568844672132,0,7
cpu_core_weighted,0,1,8,bottom_up,0.9361980040103265,-9.432477509713966,97.31203887243763,0.0,44.04741271906414,90.49144411744173,0,0
cpu_core_weighted,0,1,8,wls,0.9551432921371276,-7.599715849083378,97.31203887243763,0.0,45.2778973843489,94.8836815420445,0,7
cpu_core_weighted,0,1,8,mint,0.9537043969454486,-7.738914151232413,97.31203887243763,0.0,45.233240557189994,95.41837549758895,1,6
cpu_core_weighted,1,1,8,bottom_up,0.9401228753138297,-9.349073386358441,103.34228558759762,0.0,44.70355146502884,95.77372526524081,0,0
cpu_core_weighted,1,1,8,wls,0.9542072313783913,-7.990995669567679,103.34228558759762,0.0,45.474254578284864,96.86401201744789,0,7
cpu_core_weighted,1,1,8,mint,0.953539357043862,-8.05539515273772,103.34228558759762,0.0,45.43127271992133,97.12828162339667,1,6
cpu_core_weighted,2,1,8,bottom_up,0.9348743317307808,-10.05676489474866,94.89751128289468,0.0,44.44812397330141,93.71113273609485,0,0
cpu_core_weighted,2,1,8,wls,0.9569594800223096,-7.931976976524657,94.89751128289468,0.0,45.500611097043596,97.0309549553075,0,7
cpu_core_weighted,2,1,8,mint,0.9552376000585655,-8.097637161156456,94.89751128289468,0.0,45.42797909427878,97.36197441352184,1,6
cpu_core_weighted,0,1,16,bottom_up,0.9291772402608399,-10.387573248161775,104.45388158119103,0.0,44.26654340396202,92.90378698824634,0,0
cpu_core_weighted,0,1,16,wls,0.9469075135657571,-8.677616580065884,104.45388158119103,0.0,45.28738586108748,95.50988149002883,0,7
cpu_core_weighted,0,1,16,mint,0.9445418468941472,-8.90576802646742,104.45388158119103,0.0,45.13586691768218,95.78830442284966,0,7
cpu_core_weighted,1,1,16,bottom_up,0.9334668105645667,-9.782815823947445,100.2239135316439,0.0,44.471429844436365,95.36949242889541,0,0
cpu_core_weighted,1,1,16,wls,0.9503412651984748,-8.151942862693485,100.2239135316439,0.0,45.464117757886605,97.7741171974613,0,7
cpu_core_weighted,1,1,16,mint,0.9491778771247699,-8.264381349981731,100.2239135316439,0.0,45.394683543018274,98.01475204957568,0,7
