hierarchy,seed,fold,horizon,finite_pred_pct,negative_pred_pct,pct_above_100_cpu_report,y_min,y_median,y_max,p_min,p_median,p_max,y_range,p_range,pred_to_target_range_ratio,scaled_space_mae,inverse_transformed_mae,median_pred_over_target,q90_mae,q95_mae,early_stop_epoch,training_batches_completed,timeout_status
memory_um,0,1,1,100.0,0.0,,115408904192.0,120273612800.0,176082169856.0,117092253792.57631,120265053322.58276,147160449743.00583,60673265664.0,30068195950.42952,0.4955756974899448,unavailable_in_frozen_pack_metrics,836589801.3086051,0.9999288332892148,1958237977.1383305,7257786949.723401,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,1,1,100.0,0.0,,115408904192.0,120273612800.0,176082169856.0,116699078382.70055,120201669476.52405,146797170262.68887,60673265664.0,30098091879.988327,0.4960684339403671,unavailable_in_frozen_pack_metrics,835042020.9050137,0.999401836181677,1965499081.9453325,7309709443.587235,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,1,1,100.0,0.0,,115408904192.0,120273612800.0,176082169856.0,116884861653.79324,120253919776.2888,147083669228.63684,60673265664.0,30198807574.843597,0.49772840219414494,unavailable_in_frozen_pack_metrics,836233490.9888268,0.9998362648027881,1957279822.9534721,7229110373.905715,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,1,8,100.0,0.0,,115408904192.0,120276398080.0,176082169856.0,116900913988.17796,120268994893.588,147850326607.9019,60673265664.0,30949412619.723923,0.5100996671436381,unavailable_in_frozen_pack_metrics,836114125.5450646,0.9999384485524161,1948315110.1297011,7268713104.705769,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,1,8,100.0,0.0,,115408904192.0,120276398080.0,176082169856.0,116395303493.09612,120292220362.39249,147073210587.68597,60673265664.0,30677907094.58986,0.505624788098267,unavailable_in_frozen_pack_metrics,846440845.2396958,1.000131549353365,1962509773.051668,7208283804.505056,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,1,8,100.0,0.0,,115408904192.0,120276398080.0,176082169856.0,116790567362.5598,120236606038.9659,146308962680.3765,60673265664.0,29518395317.816696,0.4865140353790319,unavailable_in_frozen_pack_metrics,837441384.0210297,0.9996691616836777,1954885112.7415636,7276497970.612192,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,1,16,100.0,0.0,,115408904192.0,120278175744.0,176082169856.0,116918071280.74179,120205612367.44832,145444819997.43094,60673265664.0,28526748716.689148,0.47016999010183935,unavailable_in_frozen_pack_metrics,846438532.3283072,0.999396703715343,1968886860.5962052,7316017298.423302,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,1,16,100.0,0.0,,115408904192.0,120278175744.0,176082169856.0,116236069841.71803,120146054273.12961,146391487996.4746,60673265664.0,30155418154.756577,0.49701326976123283,unavailable_in_frozen_pack_metrics,848788268.2440104,0.9989015341307503,1982869984.2024603,7362132110.325644,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,1,16,100.0,0.0,,115408904192.0,120278175744.0,176082169856.0,116616115786.8343,120107400689.27785,144178284470.06198,60673265664.0,27562168683.227676,0.4542720485141361,unavailable_in_frozen_pack_metrics,860186673.0334218,0.9985801659056949,2005867196.2248785,7380572258.845723,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,2,1,100.0,0.0,,117320785920.0,119204253696.0,179990249472.0,116269315747.90527,119293246242.88747,148633678680.10413,62669463552.0,32364362932.198853,0.5164295511376847,unavailable_in_frozen_pack_metrics,1048733686.1079497,1.0007465551280947,6050010603.2025585,9481408453.914042,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,2,1,100.0,0.0,,117320785920.0,119204253696.0,179990249472.0,116435620912.31096,119333581900.35985,148923365120.142,62669463552.0,32487744207.83104,0.5183983134126292,unavailable_in_frozen_pack_metrics,1060078627.4855586,1.0010849294412736,6020701221.039544,9429815071.754902,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,2,1,100.0,0.0,,117320785920.0,119204253696.0,179990249472.0,116316217143.52562,119323788032.17351,147964275936.59073,62669463552.0,31648058793.06511,0.5049996760671986,unavailable_in_frozen_pack_metrics,1047857594.3617969,1.0010027690494867,6055886214.092417,9507883464.499197,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,2,8,100.0,0.0,,117320785920.0,119206520832.0,179990249472.0,116314751871.10327,119309441581.5193,149509985199.5548,62669463552.0,33195233328.451538,0.5296875295718431,unavailable_in_frozen_pack_metrics,1047041227.013701,1.0008633818754291,6064504720.914859,9478345201.865368,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,2,8,100.0,0.0,,117320785920.0,119206520832.0,179990249472.0,116279468857.38054,119322416376.63899,149585792168.48605,62669463552.0,33306323311.105515,0.531460162946338,unavailable_in_frozen_pack_metrics,1043534124.4204463,1.0009722248735229,6081955317.902071,9508341131.392519,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,2,8,100.0,0.0,,117320785920.0,119206520832.0,179990249472.0,116342701149.54356,119316718235.60739,145662769583.63602,62669463552.0,29320068434.092453,0.46785255166200873,unavailable_in_frozen_pack_metrics,1065201981.9429041,1.0009244242918782,6054959410.165386,9549567662.6952,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,0,2,16,100.0,0.0,,117320785920.0,119207299072.0,179990249472.0,116271997584.25229,119309887716.17554,148451058756.82498,62669463552.0,32179061172.572693,0.5134727401307992,unavailable_in_frozen_pack_metrics,1056253575.3982915,1.000860590290814,6038686111.80589,9466877303.80649,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,1,2,16,100.0,0.0,,117320785920.0,119207299072.0,179990249472.0,116447554607.05046,119334885663.811,149718568360.0082,62669463552.0,33271013752.95775,0.5308967376966793,unavailable_in_frozen_pack_metrics,1061806479.0421293,1.0010702917757908,6033843896.968418,9412795082.754416,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
memory_um,2,2,16,100.0,0.0,,117320785920.0,119207299072.0,179990249472.0,116471257044.67665,119333509009.46143,149008973804.67102,62669463552.0,32537716759.99437,0.5191957121668386,unavailable_in_frozen_pack_metrics,1057947382.5346687,1.001058743369273,6030817553.484101,9429268050.96493,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics,unavailable_in_frozen_pack_metrics
