base_model,horizon,fold,method,outcome,rel_mae_change,top_mae_ind,top_mae_method,macro_ind,macro_method,macro_rel_change,worst_ind,worst_method,worst_rel_change,coh_ind,coh_method,coh_before
persistence,8,0,mint,tie,-2.3572894866137387e-13,1291570370.298706,1291570370.2984016,228173977.45051223,228173977.45096022,1.9633637241959303e-12,427958992.2302576,427958992.2301779,-1.8621272484402052e-13,0.0,0.0,0.0
persistence,8,1,mint,tie,1.5217628540121296e-13,844465442.1477809,844465442.1479094,157380669.84724358,157380669.84873253,9.460843128046476e-12,271687768.66658604,271687768.6933191,9.839618817156989e-11,0.0,0.0,0.0
persistence,8,2,mint,tie,4.783212819150286e-13,1043003720.7891682,1043003720.7896671,191036776.90411717,191036776.90357807,-2.821939410868495e-12,451769564.84332687,451769564.8428908,-9.65243378730007e-13,0.0,0.0,0.0
persistence,16,0,mint,tie,1.3725253540505447e-14,1285438902.927975,1285438902.9279926,227277894.74342436,227277894.74295178,-2.0792845984215857e-12,426683283.0427309,426683283.0425937,-3.215731614664831e-13,0.0,0.0,0.0
persistence,16,1,mint,tie,2.0442484295996022e-13,844976853.3901465,844976853.3903192,157471415.92404935,157471415.92744425,2.1558844394396836e-11,271934026.06367266,271934026.080095,6.039086601584442e-11,0.0,0.0,0.0
persistence,16,2,mint,tie,-8.006425139940769e-13,1043733133.2584704,1043733133.2576348,191170063.50656894,191170063.50865695,1.0922266137422511e-11,452192737.76573086,452192737.77444184,1.9263866240720495e-11,0.0,0.0,0.0
ridge,1,0,mint,win,-0.06570805721242307,1358694507.6124406,1269417331.1720374,261733944.41832024,261697154.58173132,-0.00014056196138670973,559235518.7529912,545639721.5498856,-0.024311397876554938,465104157.5826315,0.0,465104157.5826315
ridge,1,1,mint,win,-0.05653504350154818,834422178.6472346,787248084.4787565,178183129.56075722,177520776.7147126,-0.0037172590226550012,323324236.2392891,332717766.9077562,0.029052974121974093,301581705.2888302,0.0,301581705.2888302
ridge,1,2,mint,loss,0.00014597888152730824,1062872941.5920458,1063028098.595265,224063327.55073184,221996840.72351202,-0.009222780228290262,624311043.0919858,594671676.187193,-0.047475320567773024,427789448.31166357,0.0,427789448.31166357
ridge,8,0,mint,win,-0.06194580425954896,1357156730.2391167,1273086565.0781949,261400373.5963501,265875886.39355138,0.017121294570574274,557653013.287769,555259558.2555041,-0.004292014882433209,464923296.3696819,0.0,464923296.3696819
ridge,8,1,mint,win,-0.05645667511326839,835005834.3233938,787864181.2173144,178261117.22330353,177587842.28029156,-0.0037769029696396077,323284304.3208599,332668107.37921786,0.029026472776248743,301967643.2167778,0.0,301967643.2167778
ridge,8,2,mint,loss,0.00018847099545036438,1063739741.8137753,1063940225.901815,224244437.99396488,222174121.57506785,-0.009232409229042959,624820134.8466765,595128490.4955506,-0.04752030655736121,428265056.35127103,0.0,428265056.35127103
ridge,16,0,mint,win,-0.06198724217235077,1353419666.8608923,1269524914.2103639,260710830.93452504,265376802.99344355,0.017897116288545446,556011047.6539077,553536332.6715086,-0.004450837789718716,464949215.46992654,0.0,464949215.46992654
ridge,16,1,mint,win,-0.0566567076106927,835539072.0094448,788200179.1092962,178285454.22070652,177595965.74185032,-0.003867328839977384,323099011.5389217,332226909.9484973,0.028251087386802484,301682596.29424995,0.0,301682596.29424995
ridge,16,2,mint,loss,0.00022721762043788988,1065098498.0995754,1065340507.2458456,224455614.59220654,222383878.84618917,-0.009230046438273862,625552604.2462171,595829702.1221107,-0.04751463253825332,428885072.4161675,0.0,428885072.4161675
