base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
lightgbm,1,wls,False,1,802856518.267588,116578387.89343704,340978740.79738426,243686846.42215908,58851780.72028111,17087225.348416507,144424884.07717222,246352054.7894912,229833081.53860596,802856518.267588,17087225.348416507,4,3,1221869948.1311007
lightgbm,1,mint,False,1,799701665.3748889,116589054.42078736,338108406.45911103,253872084.28570423,58856224.113301165,17087713.00146816,144429486.38343105,246949233.4340988,229606510.0102773,799701665.3748889,17087713.00146816,2,5,1220404550.4824648
persistence,1,independent,False,1,271525107.0082165,119525364.61672306,258933652.10633156,254279738.40115997,58718698.96568391,5359041.886901885,132721523.44127598,157294732.34661326,132700380.39602873,271525107.0082165,5359041.886901885,0,0,843922661.6452392
persistence,1,bottom_up,False,1,271525107.0082165,119525364.61672306,258933652.10633156,254279738.40115997,58718698.96568391,5359041.886901885,132721523.44127598,157294732.34661326,132700380.39602873,271525107.0082165,5359041.886901885,0,0,843922661.6452392
persistence,1,wls,False,1,271525107.0050003,119525364.61600754,258933652.10939148,254279738.40115827,58718698.96568055,5359041.886902365,132721523.44127358,157294732.34648773,132700380.39586422,271525107.0050003,5359041.886902365,5,2,843922661.6454324
persistence,1,mint,False,1,271525107.0005922,119525364.6167856,258933652.08344713,254279738.40118942,58718698.96575301,5359041.886902176,132721523.44127709,157294732.34227806,132700380.39180155,271525107.0005922,5359041.886902176,2,5,843922661.6447572
ridge,1,independent,False,1,323324236.2392891,117911756.76068981,319745778.1354212,298111328.57360685,56000174.882426806,4578406.465541778,127610225.86832495,178183129.56075722,150152195.76093137,323324236.2392891,4578406.465541778,0,0,834422178.6472346
ridge,1,bottom_up,False,1,323324236.2392891,117911756.76068981,319745778.1354212,298111328.57360685,56000174.882426806,4578406.465541778,127610225.86832495,178183129.56075722,150152195.76093137,323324236.2392891,4578406.465541778,0,0,792068860.7184273
ridge,1,wls,False,1,333659702.0682692,117876119.11219883,313116797.793584,290552681.03818303,56001102.08289085,4578415.28095773,127614307.60174845,177628446.42540455,150372762.813466,333659702.0682692,4578415.28095773,3,4,787020827.6599429
ridge,1,mint,False,1,332717766.9077562,117883033.84346355,313235444.6523082,290616001.010832,56001517.21344227,4578349.6444948595,127613323.7306909,177520776.7147126,150248508.40439934,332717766.9077562,4578349.6444948595,4,3,787248084.4787565
lightgbm,8,independent,False,1,861639278.7633283,117903438.38856764,316075629.2474398,231837720.09949782,59019797.04303154,16940635.26021365,188058676.45570344,255925025.03682604,241788600.47990948,861639278.7633283,16940635.26021365,0,0,1349230704.7903304
lightgbm,8,independent,True,1,861639278.7633283,117903438.38856764,316075629.2474398,231837720.09949782,59019797.04303154,16940635.26021365,188058676.45570344,255925025.03682604,241788600.47990948,861639278.7633283,16940635.26021365,0,0,1340514100.6138046
lightgbm,8,bottom_up,False,1,861639278.7633283,117903438.38856764,316075629.2474398,231837720.09949782,59019797.04303154,16940635.26021365,188058676.45570344,255925025.03682604,241788600.47990948,861639278.7633283,16940635.26021365,0,0,1340514100.6138046
lightgbm,8,bottom_up,True,1,861639278.7633283,117903438.38856764,316075629.2474398,231837720.09949782,59019797.04303154,16940635.26021365,188058676.45570344,255925025.03682604,241788600.47990948,861639278.7633283,16940635.26021365,0,0,1340514100.6138046
lightgbm,8,wls,False,1,854592106.592839,117796211.77669366,330632317.09212005,256984828.35519245,59025552.00401508,16940789.524408977,188015796.73368672,260569657.43985084,244222097.04911274,854592106.592839,16940789.524408977,3,4,1316136713.382926
lightgbm,8,wls,True,1,854592106.592839,117796211.77669366,330632317.09212005,256984828.35519245,59025552.00401508,16940789.524408977,188015796.73368672,260569657.43985084,244222097.04911274,854592106.592839,16940789.524408977,3,4,1316136713.382926
lightgbm,8,mint,False,1,855531821.3243225,117827570.42257069,327737426.91996974,268768624.5995952,59019237.340332076,16940425.05995239,188015914.18315363,261977288.54998517,244722750.78232944,855531821.3243225,16940425.05995239,5,2,1316686002.217671
lightgbm,8,mint,True,1,855531821.3243225,117827570.42257069,327737426.91996974,268768624.5995952,59019237.340332076,16940425.05995239,188015914.18315363,261977288.54998517,244722750.78232944,855531821.3243225,16940425.05995239,5,2,1316686002.217671
lightgbm,8,ols,False,1,854317741.8680184,159938249.7311249,327669909.735223,280112592.12814045,122626784.34094869,103573178.5464477,222107708.89895886,295763737.8926946,286537668.03259104,854317741.8680184,103573178.5464477,1,6,1331571667.075231
lightgbm,8,ols,True,1,854317741.8680184,159938249.7311249,327669909.735223,280112592.12814045,122626784.34094869,103573178.5464477,222107708.89895886,295763737.8926946,286537668.03259104,854317741.8680184,103573178.5464477,1,6,1331571667.075231
persistence,8,independent,False,1,271687768.66658604,119587492.63998064,259110430.77324948,254491932.45132422,58718626.31805539,5359287.834562825,132709150.24694642,157380669.84724358,132768384.87704381,271687768.66658604,5359287.834562825,0,0,844465442.1477809
persistence,8,independent,True,1,271687768.66658604,119587492.63998064,259110430.77324948,254491932.45132422,58718626.31805539,5359287.834562825,132709150.24694642,157380669.84724358,132768384.87704381,271687768.66658604,5359287.834562825,0,0,844465442.1477809
persistence,8,bottom_up,False,1,271687768.66658604,119587492.63998064,259110430.77324948,254491932.45132422,58718626.31805539,5359287.834562825,132709150.24694642,157380669.84724358,132768384.87704381,271687768.66658604,5359287.834562825,0,0,844465442.1477809
persistence,8,bottom_up,True,1,271687768.66658604,119587492.63998064,259110430.77324948,254491932.45132422,58718626.31805539,5359287.834562825,132709150.24694642,157380669.84724358,132768384.87704381,271687768.66658604,5359287.834562825,0,0,844465442.1477809
persistence,8,wls,False,1,271687768.6785433,119587492.64017515,259110430.7754009,254491932.45132032,58718626.318054244,5359287.8345631305,132709150.24694544,157380669.84928608,132768384.8791916,271687768.6785433,5359287.8345631305,3,4,844465442.1480584
persistence,8,wls,True,1,271687768.6785433,119587492.64017515,259110430.7754009,254491932.45132032,58718626.318054244,5359287.8345631305,132709150.24694544,157380669.84928608,132768384.8791916,271687768.6785433,5359287.8345631305,3,4,844465442.1480584
persistence,8,mint,False,1,271687768.6933191,119587492.63999203,259110430.7568804,254491932.45131612,58718626.318110965,5359287.834563091,132709150.24694613,157380669.84873253,132768384.8789621,271687768.6933191,5359287.834563091,3,4,844465442.1479094
persistence,8,mint,True,1,271687768.6933191,119587492.63999203,259110430.7568804,254491932.45131612,58718626.318110965,5359287.834563091,132709150.24694613,157380669.84873253,132768384.8789621,271687768.6933191,5359287.834563091,3,4,844465442.1479094
persistence,8,ols,False,1,271687768.6665891,119587492.63997914,259110430.77324313,254491932.4513243,58718626.318054356,5359287.8345626425,132709150.24694613,157380669.84724268,132768384.87704307,271687768.6665891,5359287.8345626425,5,2,844465442.1477814
persistence,8,ols,True,1,271687768.6665891,119587492.63997914,259110430.77324313,254491932.4513243,58718626.318054356,5359287.8345626425,132709150.24694613,157380669.84724268,132768384.87704307,271687768.6665891,5359287.8345626425,5,2,844465442.1477814
ridge,8,independent,False,1,323284304.3208599,117962296.6364043,320061631.1382677,298357447.0244106,55995021.16425974,4576547.687296828,127590572.59162556,178261117.22330353,150206568.73585832,323284304.3208599,4576547.687296828,0,0,835005834.3233938
ridge,8,independent,True,1,323284304.3208599,117962296.6364043,320061631.1382677,298357447.0244106,55995021.16425974,4576547.687296828,127590572.59162556,178261117.22330353,150206568.73585832,323284304.3208599,4576547.687296828,0,0,792793346.5996116
ridge,8,bottom_up,False,1,323284304.3208599,117962296.6364043,320061631.1382677,298357447.0244106,55995021.16425974,4576547.687296828,127590572.59162556,178261117.22330353,150206568.73585832,323284304.3208599,4576547.687296828,0,0,792793346.5996116
ridge,8,bottom_up,True,1,323284304.3208599,117962296.6364043,320061631.1382677,298357447.0244106,55995021.16425974,4576547.687296828,127590572.59162556,178261117.22330353,150206568.73585832,323284304.3208599,4576547.687296828,0,0,792793346.5996116
ridge,8,wls,False,1,333630435.66114074,117926786.32085244,313399328.601133,290764026.01581854,55995967.85976326,4576556.296029388,127594510.60885356,177698230.19479868,150422087.1953866,333630435.66114074,4576556.296029388,3,4,787653614.2190269
ridge,8,wls,True,1,333630435.66114074,117926786.32085244,313399328.601133,290764026.01581854,55995967.85976326,4576556.296029388,127594510.60885356,177698230.19479868,150422087.1953866,333630435.66114074,4576556.296029388,3,4,787653614.2190269
ridge,8,mint,False,1,332668107.37921786,117933624.95042215,313506319.9145306,290840367.58628696,55996383.997664295,4576498.265642512,127593593.86827654,177587842.28029156,150293959.29128724,332668107.37921786,4576498.265642512,4,3,787864181.2173144
ridge,8,mint,True,1,332668107.37921786,117933624.95042215,313506319.9145306,290840367.58628696,55996383.997664295,4576498.265642512,127593593.86827654,177587842.28029156,150293959.29128724,332668107.37921786,4576498.265642512,4,3,787864181.2173144
ridge,8,ols,False,1,337260437.96228176,126986959.57461491,313533693.3570571,289400052.2962893,73657252.01412682,38389159.29025366,140114169.10148543,188477389.08515844,165560320.06287253,337260437.96228176,38389159.29025366,2,5,821309487.7842588
ridge,8,ols,True,1,337260437.96228176,126986959.57461491,313533693.3570571,289400052.2962893,73657252.01412682,38389159.29025366,140114169.10148543,188477389.08515844,165560320.06287253,337260437.96228176,38389159.29025366,2,5,821309487.7842588
lightgbm,16,independent,False,2,275073960.4530688,123191377.5464113,550804983.1242969,348018863.96348464,64800465.954791434,4592369.450732444,230581401.07872206,228151917.36735824,194508386.88383934,550804983.1242969,4592369.450732444,0,0,1266339742.2184117
lightgbm,16,bottom_up,False,2,275073960.4530688,123191377.5464113,550804983.1242969,348018863.96348464,64800465.954791434,4592369.450732444,230581401.07872206,228151917.36735824,194508386.88383934,550804983.1242969,4592369.450732444,0,0,1130609376.3134103
lightgbm,16,wls,False,2,314800163.37317014,123203554.56047055,570643348.9154766,356059229.3361226,64793615.594230376,4592383.92332035,230521996.035975,237802041.6769665,203737897.08421627,570643348.9154766,4592383.92332035,2,5,1135057345.1545937
lightgbm,16,mint,False,2,290004807.0541679,123199192.98887311,559339434.2160808,349547933.39727086,64793774.14756201,4592386.864362452,230530135.6257339,231715380.6134359,198022288.0333319,559339434.2160808,4592386.864362452,2,5,1128115358.949221
persistence,16,independent,False,2,245994156.48402712,88002175.3804453,452192737.76573086,325499668.5692159,56928459.70958374,5290216.952565344,164283029.68441433,191170063.50656894,160625852.16243568,452192737.76573086,5290216.952565344,0,0,1043733133.2584704
persistence,16,bottom_up,False,2,245994156.48402712,88002175.3804453,452192737.76573086,325499668.5692159,56928459.70958374,5290216.952565344,164283029.68441433,191170063.50656894,160625852.16243568,452192737.76573086,5290216.952565344,0,0,1043733133.2584704
persistence,16,wls,False,2,245994156.48607713,88002175.3802599,452192737.7677998,325499668.5692822,56928459.709586784,5290216.952565766,164283029.68441707,191170063.50714126,160625852.1630111,452192737.7677998,5290216.952565766,1,6,1043733133.258181
