run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean,source_pack
base__memory_um__f0__h16__ridge__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,ridge,0,abe0cd1cb9555ccb,0.0737911659989549,1353419666.8608923,wls,False,464949215.46992654,0.0,True,1273487701.6344788,266823319.9246361,memory_classical
base__memory_um__f0__h16__ridge__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,ridge,0,abe0cd1cb9555ccb,0.0737911659989549,1353419666.8608923,mint,False,464949215.46992654,0.0,True,1269524914.210364,265376802.99344355,memory_classical
base__memory_um__f0__h16__lightgbm__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,lightgbm,0,abe0cd1cb9555ccb,19.173385248999693,1735274052.5911322,independent,False,1522331834.1169596,1522331834.1169596,False,1735274052.5911322,493552141.9963023,memory_classical
base__memory_um__f0__h16__lightgbm__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,lightgbm,0,abe0cd1cb9555ccb,19.173385248999693,1735274052.5911322,bottom_up,False,1522331834.1169596,0.0,True,2111881147.9847877,493552141.9963023,memory_classical
base__memory_um__f0__h16__lightgbm__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,lightgbm,0,abe0cd1cb9555ccb,19.173385248999693,1735274052.5911322,wls,False,1522331834.1169596,0.0,True,1841620625.639331,517959041.81285065,memory_classical
base__memory_um__f0__h16__lightgbm__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,lightgbm,0,abe0cd1cb9555ccb,19.173385248999693,1735274052.5911322,mint,False,1522331834.1169596,0.0,True,1896120912.491208,514972121.9736704,memory_classical
base__memory_um__f1__h1__persistence__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0002085819996864,843922661.6452392,independent,False,0.0,0.0,True,843922661.6452392,157294732.34661326,memory_classical
base__memory_um__f1__h1__persistence__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0002085819996864,843922661.6452392,bottom_up,False,0.0,0.0,True,843922661.6452392,157294732.34661326,memory_classical
base__memory_um__f1__h1__persistence__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0002085819996864,843922661.6452392,wls,False,0.0,0.0,True,843922661.6454324,157294732.34648773,memory_classical
base__memory_um__f1__h1__persistence__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0002085819996864,843922661.6452392,mint,False,0.0,0.0,True,843922661.6447572,157294732.34227806,memory_classical
base__memory_um__f1__h1__ridge__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,ridge,0,abe0cd1cb9555ccb,0.009547998999551,834422178.6472346,independent,False,301581705.2888302,301581705.2888302,False,834422178.6472346,178183129.56075722,memory_classical
base__memory_um__f1__h1__ridge__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,ridge,0,abe0cd1cb9555ccb,0.009547998999551,834422178.6472346,bottom_up,False,301581705.2888302,0.0,True,792068860.7184273,178183129.56075722,memory_classical
