hierarchy,model,horizon,seed,outer_fold,method,top_mae,top_mase,mase_valid,coherence_error,experiment_stage,eligible_for_final_claims
cpu_core_weighted,lstm,8,1,outer_1,wls,1.140259832383431,1.0480708887248489,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_1,mint,1.1402100878282169,1.0480251659705153,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_1,bottom_up_nn,1.1429758330565063,1.0505673032773613,True,0.0,development,False
memory_um,lstm,16,0,outer_1,independent,120528309368.18503,123.73637458380104,True,8.49459183216095,development,False
memory_um,lstm,16,0,outer_1,bottom_up,120528309359.69038,123.7363745750803,True,0.0,development,False
memory_um,lstm,16,0,outer_1,wls,120528309362.57365,123.73637457804031,True,0.0,development,False
memory_um,lstm,16,0,outer_1,mint,120528309362.57365,123.73637457804031,True,0.0,development,False
memory_um,lstm,16,0,outer_1,bottom_up_nn,120528309359.69038,123.7363745750803,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_1,independent,1.2174470287434351,1.1223730260000988,True,61.10493498713379,development,False
cpu_core_weighted,lstm,16,0,outer_1,bottom_up,1.2034689202742255,1.1094865089443735,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_1,wls,1.2410120759150842,1.1440978096477106,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_1,mint,1.2439814738630612,1.1468353186165479,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_1,bottom_up_nn,1.2034689202742255,1.1094865089443735,True,0.0,development,False
memory_um,lstm,16,1,outer_1,independent,120528309368.54297,123.73637458416852,True,6.3464062213897705,development,False
memory_um,lstm,16,1,outer_1,bottom_up,120528309362.19656,123.73637457765318,True,0.0,development,False
memory_um,lstm,16,1,outer_1,wls,120528309364.35071,123.73637457986466,True,0.0,development,False
memory_um,lstm,16,1,outer_1,mint,120528309364.35071,123.73637457986466,True,0.0,development,False
memory_um,lstm,16,1,outer_1,bottom_up_nn,120528309362.19656,123.73637457765318,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_1,independent,1.1500135254006094,1.0602056023555626,True,36.53558729753633,development,False
cpu_core_weighted,lstm,16,1,outer_1,bottom_up,1.197947276030403,1.1043960660650383,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_1,wls,1.2131158746628354,1.118380104421792,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_1,mint,1.2137087556206811,1.1189266855698867,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_1,bottom_up_nn,1.197947276030403,1.1043960660650383,True,0.0,development,False
memory_um,dlinear,1,0,outer_1,independent,142937889477.97003,146.4806340383138,True,14499575103.868536,development,False
memory_um,dlinear,1,0,outer_1,bottom_up,128438314374.1015,131.6216840268254,True,0.0,development,False
memory_um,dlinear,1,0,outer_1,wls,132533294850.97197,135.81815942475654,True,0.0,development,False
memory_um,dlinear,1,0,outer_1,mint,128088590285.54172,131.2632919558511,True,0.0,development,False
memory_um,dlinear,1,0,outer_1,bottom_up_nn,109923725581.68777,112.64820739878685,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_1,independent,1.0536231839026657,0.9685583497741466,True,69.36867704694657,development,False
cpu_core_weighted,dlinear,1,0,outer_1,bottom_up,1.0036271085936987,0.9225987344806865,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_1,wls,1.0303126509067222,0.9471298051902295,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_1,mint,1.0289301946722609,0.945858962302998,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_1,bottom_up_nn,0.9989484012287706,0.9182977650699093,True,0.0,development,False
memory_um,dlinear,1,1,outer_1,independent,103416077051.23634,105.97926548058437,True,17460914762.93475,development,False
memory_um,dlinear,1,1,outer_1,bottom_up,85955162288.30159,88.08557840639658,True,0.0,development,False
memory_um,dlinear,1,1,outer_1,wls,91423619845.09781,93.68957279204598,True,0.0,development,False
memory_um,dlinear,1,1,outer_1,mint,88089685923.97913,90.27300664299442,True,0.0,development,False
memory_um,dlinear,1,1,outer_1,bottom_up_nn,85952565978.67955,88.08291774671436,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_1,independent,1.0078617651143635,0.9264915037308118,True,65.52974330513361,development,False
cpu_core_weighted,dlinear,1,1,outer_1,bottom_up,0.9716727265938074,0.8932242066886646,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_1,wls,0.9971630558530026,0.9166565605127681,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_1,mint,0.9965737365797623,0.916114820247842,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_1,bottom_up_nn,0.9669005227259239,0.8888372892653573,True,0.0,development,False
memory_um,dlinear,8,0,outer_1,independent,171172071504.4934,175.37263468840382,True,119747874292.85475,development,False
memory_um,dlinear,8,0,outer_1,bottom_up,51424197211.63865,52.686147176202155,True,0.0,development,False
memory_um,dlinear,8,0,outer_1,wls,80542584267.0263,82.51909954335274,True,0.0,development,False
memory_um,dlinear,8,0,outer_1,mint,65765469658.782684,67.37935449521179,True,0.0,development,False
memory_um,dlinear,8,0,outer_1,bottom_up_nn,37071435213.72258,37.981168352807686,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_1,independent,1.0511752813336341,0.96618874051723,True,61.18473169326084,development,False
cpu_core_weighted,dlinear,8,0,outer_1,bottom_up,1.017364106551267,0.9351111676723501,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_1,wls,1.0405328731420591,0.9564067610992565,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_1,mint,1.0394300089931947,0.955393062487926,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_1,bottom_up_nn,1.013261536275305,0.9313402863757635,True,0.0,development,False
memory_um,dlinear,8,1,outer_1,independent,129004250248.77687,132.17001496378035,True,91749489642.06555,development,False
memory_um,dlinear,8,1,outer_1,bottom_up,37254760606.711334,38.16899255152857,True,0.0,development,False
memory_um,dlinear,8,1,outer_1,wls,62899909784.05129,64.4434737719606,True,0.0,development,False
memory_um,dlinear,8,1,outer_1,mint,53340586410.2196,54.64956457186484,True,0.0,development,False
memory_um,dlinear,8,1,outer_1,bottom_up_nn,37019555403.911476,37.92801541229736,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_1,independent,1.0448084370818467,0.9603366496833404,True,66.21059114791301,development,False
cpu_core_weighted,dlinear,8,1,outer_1,bottom_up,0.9958769318372916,0.9153612109878375,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_1,wls,1.0228007954793852,0.9401083053727135,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_1,mint,1.021434163765758,0.938852164558153,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_1,bottom_up_nn,0.9900101109407659,0.9099687170874265,True,0.0,development,False
memory_um,dlinear,16,0,outer_1,independent,188534101293.33688,193.55225591184208,True,136513118062.04189,development,False
memory_um,dlinear,16,0,outer_1,bottom_up,52020983231.295,53.405609861016174,True,0.0,development,False
memory_um,dlinear,16,0,outer_1,wls,83367713185.44426,85.58668615683709,True,0.0,development,False
memory_um,dlinear,16,0,outer_1,mint,67265426164.14465,69.05580947759168,True,0.0,development,False
memory_um,dlinear,16,0,outer_1,bottom_up_nn,37064214729.24246,38.050741617741174,True,0.0,development,False
cpu_core_weighted,dlinear,16,0,outer_1,independent,1.0547463130889454,0.9723780855631505,True,63.528364142693384,development,False
cpu_core_weighted,dlinear,16,0,outer_1,bottom_up,1.0141730482154006,0.9349733057282319,True,0.0,development,False
cpu_core_weighted,dlinear,16,0,outer_1,wls,1.0394903289523412,0.9583134858920807,True,0.0,development,False
cpu_core_weighted,dlinear,16,0,outer_1,mint,1.0373730451454959,0.9563615469763952,True,0.0,development,False
cpu_core_weighted,dlinear,16,0,outer_1,bottom_up_nn,1.0103450956054407,0.9314442891445206,True,0.0,development,False
memory_um,dlinear,16,1,outer_1,independent,172777893781.8937,177.3766702351159,True,126852626921.19211,development,False
memory_um,dlinear,16,1,outer_1,bottom_up,45925266860.70161,47.1476456686847,True,0.0,development,False
memory_um,dlinear,16,1,outer_1,wls,78147718228.32727,80.22775218750462,True,0.0,development,False
memory_um,dlinear,16,1,outer_1,mint,66134108084.75598,67.89437945025229,True,0.0,development,False
memory_um,dlinear,16,1,outer_1,bottom_up_nn,36973682865.31897,37.95780009483316,True,0.0,development,False
cpu_core_weighted,dlinear,16,1,outer_1,independent,1.0874658059327025,1.0025424174192474,True,70.90783475080187,development,False
cpu_core_weighted,dlinear,16,1,outer_1,bottom_up,1.0231282541215567,0.9432291733873944,True,0.0,development,False
cpu_core_weighted,dlinear,16,1,outer_1,wls,1.05278515780123,0.9705700826334451,True,0.0,development,False
cpu_core_weighted,dlinear,16,1,outer_1,mint,1.0496993291319165,0.96772523535917,True,0.0,development,False
cpu_core_weighted,dlinear,16,1,outer_1,bottom_up_nn,1.0153817251952058,0.9360875935840911,True,0.0,development,False
memory_um,lstm,1,0,outer_2,independent,120348532678.79257,114.07297046074825,True,10.775975942611694,development,False
memory_um,lstm,1,0,outer_2,bottom_up,120348532668.01653,114.07297045053411,True,0.0,development,False
memory_um,lstm,1,0,outer_2,wls,120348532671.5885,114.07297045391984,True,0.0,development,False
memory_um,lstm,1,0,outer_2,mint,120348532671.5885,114.07297045391984,True,0.0,development,False
memory_um,lstm,1,0,outer_2,bottom_up_nn,120348532668.01653,114.07297045053411,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_2,independent,1.3594073185161755,1.1574454925900404,True,127.32084414962394,development,False
cpu_core_weighted,lstm,1,0,outer_2,bottom_up,1.4319033452895207,1.2191710683439545,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_2,wls,1.4191644642504038,1.2083247530133436,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_2,mint,1.4202980917496488,1.209289961910931,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_2,bottom_up_nn,1.4332436017321963,1.22031220813139,True,0.0,development,False
memory_um,lstm,1,1,outer_2,independent,120348532679.2984,114.0729704612277,True,7.73952329158783,development,False
memory_um,lstm,1,1,outer_2,bottom_up,120348532671.55891,114.07297045389178,True,0.0,development,False
memory_um,lstm,1,1,outer_2,wls,120348532674.12434,114.07297045632345,True,0.0,development,False
memory_um,lstm,1,1,outer_2,mint,120348532674.12434,114.07297045632345,True,0.0,development,False
memory_um,lstm,1,1,outer_2,bottom_up_nn,120348532671.55891,114.07297045389178,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_2,independent,1.379511620774751,1.1745629773305635,True,138.50650034120702,development,False
