target,horizon,method,mae_mean,mae_std,beat_rate,peak_recall_mean
machine01_UM,1,ens_mean,345645623.86721736,113515716.47828554,0.3333333333333333,0.8330851962818785
machine01_UM,1,ens_stacking,452717659.61916655,173796528.0008496,0.0,0.8183511071145224
machine01_UM,1,ewma,397907932.92991906,126800260.56109351,0.0,0.8041136317035104
machine01_UM,1,lightgbm,591568863.473863,259724187.89730665,0.0,0.8105538328252481
machine01_UM,1,persistence,314779278.516714,98205511.79769523,0.0,0.8282316882017052
machine01_UM,1,regime_router,309395251.4660285,103593403.01945652,0.6666666666666666,0.8302973370645071
machine01_UM,1,ridge,339545200.003938,84879348.61514919,0.0,0.6357129432745203
machine01_UM,1,static_router,316171762.8205245,100596807.56019731,0.0,0.7075318068256674
machine01_UM,4,constrained_mixture,429692780.94669247,210539466.63175255,0.0,0.8983050108091302
machine01_UM,4,ens_inverse_mae,345736777.00124663,113828895.12069911,0.3333333333333333,0.8766094763735364
machine01_UM,4,ens_mean,361729903.56305856,123640271.46243957,0.3333333333333333,0.8799006388873941
machine01_UM,4,ens_stacking,544576019.4038582,265552035.51774058,0.0,0.8778809984014687
machine01_UM,4,ewma,397844801.51774734,126510744.35627005,0.0,0.8040863436148843
machine01_UM,4,lightgbm,668925006.5294365,325563848.2099612,0.0,0.8725005110214862
machine01_UM,4,persistence,314882011.65420455,98243764.565207,0.0,0.8282065127392954
machine01_UM,4,regime_router,311681244.7873769,108569790.29613824,0.6666666666666666,0.8310697077218135
machine01_UM,4,ridge,339587053.45119655,84847155.89926629,0.0,0.6356792292811533
machine01_UM,4,static_router,316234187.114513,100565854.62723193,0.0,0.7074980928323003
machine01_UM,8,constrained_mixture,382982351.60226965,142098230.08867255,0.0,0.8899065382597809
machine01_UM,8,ens_inverse_mae,337447453.004944,105647211.81676263,0.3333333333333333,0.866926988881219
machine01_UM,8,ens_mean,352825472.4895289,115700342.59057799,0.3333333333333333,0.8724840647451826
machine01_UM,8,ens_stacking,458048457.4396058,172764598.67842147,0.0,0.8710463527261038
machine01_UM,8,ewma,397588057.5707515,125859142.33016415,0.0,0.8040498838091005
machine01_UM,8,lightgbm,628296735.3268518,292001569.9290051,0.0,0.8623947106233496
machine01_UM,8,persistence,314723971.87190145,97801702.31574567,0.0,0.8281728756281529
machine01_UM,8,regime_router,315841617.12270087,116365196.73067144,0.6666666666666666,0.8279030111780402
machine01_UM,8,ridge,339542592.19517285,84671065.51007673,0.0,0.6355021051924096
machine01_UM,8,static_router,316224006.3472665,100377607.29801327,0.0,0.7073209687435565
machine01_UM,16,constrained_mixture,395233790.5577886,167466746.61096007,0.0,0.8922765417382377
machine01_UM,16,ens_inverse_mae,334369502.431979,101445779.52791429,0.3333333333333333,0.8704422889335599
machine01_UM,16,ens_mean,349782558.13290185,110686264.71206057,0.3333333333333333,0.8733079271541623
machine01_UM,16,ens_stacking,463939897.99155664,192582231.8546002,0.0,0.873923191155253
machine01_UM,16,ewma,396934750.6306169,124264442.91302362,0.0,0.8039767035376163
machine01_UM,16,lightgbm,625311643.8649448,291498665.45869845,0.0,0.854685655559608
machine01_UM,16,persistence,313685802.63029283,95664080.45753558,0.0,0.8281053609260741
machine01_UM,16,regime_router,313561326.0997957,110753377.81935921,0.6666666666666666,0.8252158117898761
machine01_UM,16,ridge,338817321.9718395,83369945.49686036,0.0,0.6354090579038332
machine01_UM,16,static_router,315618597.5183155,98981909.6697212,0.0,0.7069654542633792
machine01_rx_bond0,1,constrained_mixture,16.0173984592021,1.9584033990649459,1.0,0.49456610320724076
machine01_rx_bond0,1,ens_inverse_mae,16.288495757052925,2.422285146943054,0.6666666666666666,0.5118924265126846
machine01_rx_bond0,1,ens_mean,16.35804305263601,2.4180999789751283,0.6666666666666666,0.5038676317926204
machine01_rx_bond0,1,ens_stacking,16.472723634830754,2.1543047238355286,0.6666666666666666,0.4926219223667901
machine01_rx_bond0,1,ewma,17.03616390620486,2.390875176594447,0.0,0.520471518491476
machine01_rx_bond0,1,lightgbm,16.692948343053313,1.9717436685257808,0.0,0.5329895857808042
