family,base_model,horizon,outer_fold,machine,method,mae,mae_vs_local,mae_rel
CU,ridge,4,outer_2,machine06,local,0.06821741313367441,0.0,1.0
CU,ridge,4,outer_2,machine06,global_pooled,0.07451951961613475,0.006302106482460337,1.0923826658467852
CU,ridge,4,outer_2,machine06,global_onehot,0.08013491377364172,0.011917500639967313,1.1746988062507524
CU,ridge,4,outer_2,machine06,global_residual,0.06821740022097258,-1.2912701824463468e-08,0.9999998107125259
CU,ridge,4,outer_2,machine06,global_embed,0.07244350338499674,0.004226090251322326,1.061950315281542
CU,ridge,4,outer_2,machine07,local,1.2358879306133748,0.0,1.0
CU,ridge,4,outer_2,machine07,global_pooled,1.2695586931479983,0.03367076253462353,1.0272441875194238
CU,ridge,4,outer_2,machine07,global_onehot,1.2551401180703294,0.019252187456954672,1.0155776158825338
CU,ridge,4,outer_2,machine07,global_residual,1.2358878830380915,-4.7575283268486146e-08,0.9999999615051801
CU,ridge,4,outer_2,machine07,global_embed,1.2169371601876846,-0.018950770425690155,0.9846662711429791
CU,ridge,8,outer_0,machine01,local,3.735521318136657,0.0,1.0
CU,ridge,8,outer_0,machine01,global_pooled,4.424511679141135,0.6889903610044783,1.1844428935954134
CU,ridge,8,outer_0,machine01,global_onehot,3.879332047968882,0.1438107298322251,1.0384981686850498
CU,ridge,8,outer_0,machine01,global_residual,3.7355226543267577,1.3361901007868937e-06,1.0000003576984273
CU,ridge,8,outer_0,machine01,global_embed,4.400649427725643,0.665128109588986,1.1780549628668064
CU,ridge,8,outer_0,machine02,local,1.235085644287607,0.0,1.0
CU,ridge,8,outer_0,machine02,global_pooled,1.5049630191128736,0.2698773748252665,1.2185090370643332
CU,ridge,8,outer_0,machine02,global_onehot,1.4537277719187796,0.21864212763117252,1.1770258837048377
CU,ridge,8,outer_0,machine02,global_residual,1.2350851408585735,-5.034290335714786e-07,0.9999995923934215
CU,ridge,8,outer_0,machine02,global_embed,1.2126764638032013,-0.022409180484405766,0.9818561728184192
CU,ridge,8,outer_0,machine03,local,0.8800274001224695,0.0,1.0
CU,ridge,8,outer_0,machine03,global_pooled,1.2695699159164089,0.3895425157939394,1.4426481672499385
CU,ridge,8,outer_0,machine03,global_onehot,1.2630973623970498,0.38306996227458034,1.435293221803401
CU,ridge,8,outer_0,machine03,global_residual,0.880027559734365,1.5961189547830656e-07,1.0000001813715067
CU,ridge,8,outer_0,machine03,global_embed,0.9627578822459215,0.08273048212345202,1.0940089843929164
CU,ridge,8,outer_0,machine04,local,3.315612166005393,0.0,1.0
CU,ridge,8,outer_0,machine04,global_pooled,3.512868165201222,0.19725599919582892,1.059493085837443
CU,ridge,8,outer_0,machine04,global_onehot,3.602015509714116,0.2864033437087228,1.0863802306690706
CU,ridge,8,outer_0,machine04,global_residual,3.3156129553027096,7.892973163947659e-07,1.0000002380547774
CU,ridge,8,outer_0,machine04,global_embed,4.152368922717968,0.8367567567125747,1.2523687074416452
CU,ridge,8,outer_0,machine05,local,0.6041551290522993,0.0,1.0
CU,ridge,8,outer_0,machine05,global_pooled,0.6328257945290073,0.028670665476708046,1.047455800833276
CU,ridge,8,outer_0,machine05,global_onehot,0.6331467649883288,0.028991635936029492,1.0479870724287434
CU,ridge,8,outer_0,machine05,global_residual,0.604154694380344,-4.3467195531832203e-07,0.9999992805292309
CU,ridge,8,outer_0,machine05,global_embed,0.6160864590552048,0.011931330002905471,1.0197487854181118
CU,ridge,8,outer_0,machine06,local,0.05812993202338696,0.0,1.0
CU,ridge,8,outer_0,machine06,global_pooled,0.0696123328074238,0.011482400784036832,1.197529919343742
CU,ridge,8,outer_0,machine06,global_onehot,0.07073578608717515,0.01260585406378819,1.2168565079125944
CU,ridge,8,outer_0,machine06,global_residual,0.05812927558411727,-6.564392696917221e-07,0.9999887073793682
CU,ridge,8,outer_0,machine06,global_embed,0.07038751285948269,0.012257580836095731,1.2108652188198712
CU,ridge,8,outer_0,machine07,local,0.9486102334406846,0.0,1.0
CU,ridge,8,outer_0,machine07,global_pooled,1.0546350216679448,0.10602478822726014,1.1117685478077755
CU,ridge,8,outer_0,machine07,global_onehot,1.023160342919775,0.07455010947909047,1.0785887679165038
CU,ridge,8,outer_0,machine07,global_residual,0.9486101567012465,-7.673943813735207e-08,0.9999999191032993
CU,ridge,8,outer_0,machine07,global_embed,0.9512165003932119,0.002606266952527303,1.0027474581874098
